Marca,Carrozzeria,id_annuncio,Alimentazione,Tipo di veicolo,Anno,Modello,Tipo di cambio,Porte,Cilindrata,Posti a sedere,Colore esterno,Cilindri,Marce,Tipo di unita,Emissioni di CO2,Classe emissioni,Consumo carburante,Colore originale,Rivestimenti,Tipo di vernice,Peso a vuoto,Usato Garantito,Per neopatentati,Proprietari,Veicolo per non fumatori,Tagliandi certificati
Fiat,City car,f847b419-a2cd-45c2-81d0-cd77ed094067,GPL,KM0,2020,New Panda,Manuale,5,1242,4,Rosso,4,5,anteriore,119 g CO2/km (comb.),Euro 6,"5,1 l/100 km (comb.)
6,6 l/100 km (urbano)
4,3 l/100 km (extraurbano)",,Stoffa,,865,,,1,Sì,
Fiat,City car,b92d86c8-b7f9-4bc3-a200-694b4498e30b,GPL,KM0,2020,500,Manuale,3,1242,4,Bianco,,5,anteriore,,Euro 6,"4,8 l/100 km (comb.)",Bianco,,,,24 mese,,,,
Fiat,City car,8f214793-8196-446e-9a00-7e679d2c8b5d,GPL,KM0,2020,500,Manuale,2,1242,4,Grigio,4,5,anteriore,,Euro 6d,,Grigio,"Pelle parziale, Grigio",Metallizzato,,24 mese,,1,,
Fiat,City car,05e39c9d-9f96-4629-8ef9-52a3475d6945,GPL,KM0,2019,500,Manuale,2,1242,4,Blu/Azzurro,4,5,anteriore,,Euro 6,,Blu,"Pelle parziale, Grigio",Metallizzato,,24 mese,,1,,
Fiat,City car,e74d6059-42c2-40f0-8e54-4fbb2216805e,GPL,KM0,2020,500,Manuale,3,1242,4,Grigio,4,5,anteriore,129 g CO2/km (comb.),Euro 6d-TEMP,"5,6 l/100 km (comb.)
6,7 l/100 km (urbano)
5 l/100 km (extraurbano)",Grigio,"Stoffa, Grigio",Metallizzato,940,24 mese,Sì,,Sì,
Fiat,City car,482d526d-8caf-44d5-bca5-3edc1c8503b4,GPL,KM0,2020,500,Manuale,3,1242,4,Nero,4,5,anteriore,108 g CO2/km (comb.),Euro 6d-TEMP,"4,8 l/100 km (comb.)
6,1 l/100 km (urbano)
4 l/100 km (extraurbano)",Nero,"Stoffa, Bianco",Metallizzato,960,24 mese,Sì,,Sì,Sì
Fiat,City car,4720ae1e-7786-40d7-b803-af64b5c68874,GPL,KM0,2019,500,Manuale,3,1242,4,Grigio,4,5,anteriore,129 g CO2/km (comb.),Euro 6,"5,6 l/100 km (comb.)
6,7 l/100 km (urbano)
5 l/100 km (extraurbano)",Grigio scuro,"Pelle parziale, Grigio",Metallizzato,940,Sì,Sì,,,
Fiat,City car,5accad3e-2e05-431a-b922-756e3b846e9f,GPL,KM0,2019,500,Manuale,3,1242,4,Nero,4,5,anteriore,129 g CO2/km (comb.),Euro 6,"5,6 l/100 km (comb.)
6,7 l/100 km (urbano)
5 l/100 km (extraurbano)",Nero,"Pelle parziale, Grigio",Metallizzato,940,Sì,Sì,,,
Fiat,City car,67f390c8-8fb3-4dbf-b4b9-75d44654e3db,GPL,KM0,2019,500,Manuale,3,1242,4,Bianco,4,5,anteriore,129 g CO2/km (comb.),Euro 6,"5,6 l/100 km (comb.)
6,7 l/100 km (urbano)
5 l/100 km (extraurbano)",Bianco,"Pelle parziale, Grigio",Base,940,Sì,Sì,,,
Fiat,City car,fbceb406-cdc2-41d7-aab4-8d95749adc3c,GPL,KM0,2020,500,Manuale,3,1242,4,Blu/Azzurro,4,5,anteriore,129 g CO2/km (comb.),Euro 6,"5,6 l/100 km (comb.)
6,7 l/100 km (urbano)
5 l/100 km (extraurbano)",Blu,"Stoffa, Grigio",Metallizzato,940,23 mese,Sì,,,
Fiat,City car,3afd509b-52aa-4e6e-8101-1ab940f86c61,GPL,KM0,2020,500,Manuale,3,1242,4,Grigio,4,5,anteriore,108 g CO2/km (comb.),Euro 6d-TEMP,"4,8 l/100 km (comb.)
6,1 l/100 km (urbano)
4 l/100 km (extraurbano)",Grigio,"Stoffa, Bianco",Metallizzato,960,24 mese,Sì,,Sì,Sì
Fiat,City car,0f1faf1e-0496-4333-b346-413981e06968,GPL,KM0,2020,500,Manuale,3,1242,4,Bianco,4,5,anteriore,108 g CO2/km (comb.),Euro 6d-TEMP,"4,8 l/100 km (comb.)
6,1 l/100 km (urbano)
4 l/100 km (extraurbano)",Bianco,"Stoffa, Bianco",Base,960,24 mese,Sì,,Sì,Sì
Fiat,City car,ebd56686-a42e-4130-9efa-9ddba2336c0b,GPL,KM0,2020,500,Manuale,3,1242,4,Grigio,4,5,anteriore,108 g CO2/km (comb.),Euro 6d-TEMP,"4,8 l/100 km (comb.)
6,1 l/100 km (urbano)
4 l/100 km (extraurbano)",Grigio,"Stoffa, Nero",Metallizzato,960,24 mese,Sì,,Sì,Sì
Fiat,City car,d4da8e09-8a6c-44d3-8723-c64c3e73a53c,GPL,KM0,2020,500,Manuale,3,1242,4,Grigio,4,5,anteriore,108 g CO2/km (comb.),Euro 6d-TEMP,"4,8 l/100 km (comb.)
6,1 l/100 km (urbano)
4 l/100 km (extraurbano)",Grigio,"Stoffa, Nero",Metallizzato,960,24 mese,Sì,,Sì,Sì
Fiat,City car,9cef8db6-46e9-490b-9497-c199ccf3f1f5,GPL,KM0,2020,500,Manuale,3,1242,4,Nero,4,5,anteriore,108 g CO2/km (comb.),Euro 6d-TEMP,"4,8 l/100 km (comb.)
6,1 l/100 km (urbano)
4 l/100 km (extraurbano)",Nero,"Stoffa, Bianco",Metallizzato,960,24 mese,Sì,,Sì,Sì
