Carrozzeria,id_annuncio,Alimentazione,Tipo di veicolo,Anno,Marca,Modello,Porte,Posti a sedere,Tipo di cambio,Tipo di unita,Colore esterno,Emissioni di CO2,Rivestimenti,Colore originale,Tipo di vernice,Marce,Peso a vuoto,Usato Garantito,Per neopatentati,Proprietari,Cilindrata,Classe emissioni,Cilindri,Veicolo per non fumatori,Consumo carburante,Tagliandi certificati
City car,97c61f78-b85f-45fe-813f-1cdbb92d15f3,Metano,KM0,2020,Lancia,Ypsilon,5,,Manuale,anteriore,Grigio,,"Stoffa, Nero",Grigio pietra,,5,1090,23 mese,,1,2,Euro 6,2,Sì,,Sì
City car,e997e23e-2c07-4725-9520-cd9ef1006e22,Metano,KM0,2020,Volkswagen,up!,5,4,Manuale,anteriore,Argento,81 g CO2/km (comb.),"Altro, Altro",,,5,,Sì,,,999,,3,,"6,8 kg/100 km (comb.)
8,5 kg/100 km (urbano)
5,8 kg/100 km (extraurbano)",
City car,0eeb2eef-03ba-41b9-9fd5-168ed2695259,Metano,KM0,2020,Lancia,Ypsilon,5,,Manuale,anteriore,Grigio,,"Stoffa, Nero",Grigio pietra,,5,1090,23 mese,,1,2,Euro 6,2,Sì,,Sì
City car,53933f7f-1eb8-49a3-ad55-ea55ba327a8e,Metano,KM0,2019,Volkswagen,Caddy,4,2,Automatico,anteriore,Bianco,135 g CO2/km (comb.),,Bianco pastello,Base,,,,,,1395,Euro 6,,,"5,9 kg/100 km (comb.)
7,2 kg/100 km (urbano)
5,1 kg/100 km (extraurbano)",
City car,f5a5850e-ce96-424b-96ab-de646d0b206f,Metano,KM0,2019,Volkswagen,Caddy,4,2,Manuale,anteriore,Bianco,135 g CO2/km (comb.),,Bianco pastello,Base,,,,,,1395,Euro 6,,,"5,9 kg/100 km (comb.)
7,2 kg/100 km (urbano)
5,1 kg/100 km (extraurbano)",
SUV/Fuoristrada/Pick-up,e96983af-75f5-454f-a83b-cdcb82430b6b,Metano,KM0,2020,SEAT,Arona,5,5,Manuale,anteriore,Bianco,98 g CO2/km (comb.),"Stoffa, Altro",Bianco Candy Nero Midnight,,6,1305,48 mese,Sì,1,999,Euro 6d-TEMP,3,,"3,5 kg/100 km (comb.)
4,3 kg/100 km (urbano)
3 kg/100 km (extraurbano)",
SUV/Fuoristrada/Pick-up,48ab6b27-5c57-464f-a860-87687100412b,Metano,KM0,2020,SEAT,Arona,5,5,Manuale,anteriore,Grigio,96 g CO2/km (comb.),"Stoffa, Nero",Grigio,Metallizzato,6,1308,48 mese,Sì,,999,Euro 6d-TEMP,3,,"4,7 kg/100 km (comb.)
5,6 kg/100 km (urbano)
4,2 kg/100 km (extraurbano)",
SUV/Fuoristrada/Pick-up,0d1c8f8c-3e34-4f05-9fc2-cd6f85b86716,Metano,KM0,2020,SEAT,Arona,5,5,Manuale,anteriore,Grigio,96 g CO2/km (comb.),"Stoffa, Nero",Grigio,Metallizzato,6,1308,48 mese,Sì,,999,Euro 6d-TEMP,3,,"4,7 kg/100 km (comb.)
5,6 kg/100 km (urbano)
4,2 kg/100 km (extraurbano)",
SUV/Fuoristrada/Pick-up,1f136505-1e0b-4bab-98e8-bc81c6c2cc99,Metano,KM0,2020,SEAT,Arona,5,5,Manuale,anteriore,Bianco,96 g CO2/km (comb.),,Bianco,Base,6,1308,24 mese,Sì,,999,Euro 6,3,,"4,7 kg/100 km (comb.)
5,6 kg/100 km (urbano)
4,2 kg/100 km (extraurbano)",
SUV/Fuoristrada/Pick-up,97cfb86f-af36-4101-9c51-467efe772af5,Metano,KM0,2020,SEAT,Arona,5,5,Manuale,anteriore,Nero,93 g CO2/km (comb.),Nero,Bianco Candy Nero Midnight,,6,1305,12 mese,Sì,,999,Euro 6,3,,"3,5 kg/100 km (comb.)
4,3 kg/100 km (urbano)
3 kg/100 km (extraurbano)",
SUV/Fuoristrada/Pick-up,3ce7f849-b1b9-4071-93a8-c2f03c5c790c,Metano,KM0,2020,SEAT,Arona,5,5,Manuale,anteriore,Bianco,115 g CO2/km (comb.),"Stoffa, Nero",Bianco,Base,6,1308,48 mese,Sì,,999,Euro 6d-TEMP,3,,"4,7 kg/100 km (comb.)
5,6 kg/100 km (urbano)
4,2 kg/100 km (extraurbano)",
SUV/Fuoristrada/Pick-up,63fcf631-6c0a-4d67-974e-56d1e23c2411,Metano,KM0,2020,Skoda,Kamiq,5,5,Manuale,anteriore,Grigio,95 g CO2/km (comb.),"Stoffa, Nero",Grigio quarzo,Metallizzato,6,,,,1,999,,3,,"8,2 kg/100 km (comb.)
8,6 kg/100 km (urbano)
6,5 kg/100 km (extraurbano)",
SUV/Fuoristrada/Pick-up,af37fb54-e9ff-446a-92b4-3ff625831666,Metano,KM0,2020,SEAT,Arona,5,5,Manuale,anteriore,Blu/Azzurro,115 g CO2/km (comb.),"Stoffa, Nero",Blu,Metallizzato,6,1308,48 mese,Sì,,999,Euro 6d-TEMP,3,,"4,7 kg/100 km (comb.)
5,6 kg/100 km (urbano)
4,2 kg/100 km (extraurbano)",
SUV/Fuoristrada/Pick-up,a7f50364-47e4-4f1d-9747-13b10a3f966a,Metano,KM0,2020,SEAT,Arona,5,5,Manuale,anteriore,Blu/Azzurro,115 g CO2/km (comb.),"Stoffa, Nero",Blu,Metallizzato,6,1308,48 mese,Sì,,999,Euro 6d-TEMP,3,,"4,7 kg/100 km (comb.)
5,6 kg/100 km (urbano)
4,2 kg/100 km (extraurbano)",
SUV/Fuoristrada/Pick-up,ad131209-e561-4caf-87a9-3f549b865482,Metano,KM0,2020,Skoda,Kamiq,5,5,Manuale,anteriore,Grigio,95 g CO2/km (comb.),,Grigio Quarzo Metallizzato,Metallizzato,,,24 mese,,1,999,Euro 6,3,,"5,3 kg/100 km (comb.)",
SUV/Fuoristrada/Pick-up,f3d03aa4-7210-488b-b1f5-d5a297ac46b1,Metano,KM0,2020,Skoda,Kamiq,5,5,Manuale,anteriore,Bianco,95 g CO2/km (comb.),,Bianco Luna Metallizzato,Metallizzato,,,24 mese,,1,999,Euro 6,3,,"5,3 kg/100 km (comb.)",
SUV/Fuoristrada/Pick-up,36a4a39a-ce4c-4cc1-a64c-07f0889f9fdc,Metano,KM0,2020,SEAT,Arona,5,5,Manuale,anteriore,Nero,96 g CO2/km (comb.),"Stoffa, Altro",,,6,,48 mese,,,999,,3,Sì,"7,2 kg/100 km (comb.)
8,6 kg/100 km (urbano)
6,5 kg/100 km (extraurbano)",Sì
SUV/Fuoristrada/Pick-up,510409f7-a8b5-4565-8a36-1e2d38313f34,Metano,KM0,2020,SEAT,Arona,5,5,Manuale,anteriore,Bianco,96 g CO2/km (comb.),"Stoffa, Altro",,,6,,48 mese,,1,999,,3,Sì,"7,2 kg/100 km (comb.)
8,6 kg/100 km (urbano)
6,5 kg/100 km (extraurbano)",Sì
SUV/Fuoristrada/Pick-up,2b3d7010-4bee-4e62-b02e-85462e359dea,Metano,KM0,2020,SEAT,Arona,5,5,Manuale,anteriore,Nero,98 g CO2/km (comb.),"Stoffa, Grigio",,,6,1308,,Sì,1,999,Euro 6d-TEMP,3,,"3,5 kg/100 km (comb.)
4,3 kg/100 km (urbano)
3 kg/100 km (extraurbano)",
