seller,vehicle,country,address,id_annuncio,asking_price,conditional_on_price,price,link_annuncio,vehicle_user_desc
StarEmilia,smart forTwo,IT,40033 Casalecchio di Reno - Bologna - Bo,81097bdb-4ab0-415f-bfe9-7b49a9760c70,"€ 22.490,- 12",12,22490,https://www.autoscout24.it/annunci/smart-fortwo-eq-british-green-elettrica-verde-81097bdb-4ab0-415f-bfe9-7b49a9760c70?cldtidx=1&cldtsrc=listPage,EQ British Green
Giacobbe Automobili srl,Renault Twingo,Carlotta Giacobbe,IT,da074332-9033-4c69-bb5d-d3e83dfde12a,"€ 11.186,- 2",2,11186,https://www.autoscout24.it/annunci/renault-twingo-electric-zen-prenotala-con--100-elettrica-blu-azzurro-da074332-9033-4c69-bb5d-d3e83dfde12a?cldtidx=2&cldtsrc=listPage,ELECTRIC ZEN *PRENOTALA CON € 100*
AUTOCROCETTA SPA - FILIALE BIELLA,MINI Cooper,IT,13900 Biella - Bi,a4bcdd78-9520-46d4-b27c-161b870e94ae,"€ 34.900,- 12",12,34900,https://www.autoscout24.it/annunci/mini-cooper-se-xl-elettrica-argento-a4bcdd78-9520-46d4-b27c-161b870e94ae?cldtidx=3&cldtsrc=listPage,SE XL
AUTOCROCETTA SPA,MINI Cooper,IT,10024 Moncalieri - Torino - To,b5229cbc-04f7-44e8-b7da-68ad9327ac2d,"€ 34.900,- 12",12,34900,https://www.autoscout24.it/annunci/mini-cooper-se-xl-elettrica-nero-b5229cbc-04f7-44e8-b7da-68ad9327ac2d?cldtidx=4&cldtsrc=listPage,SE XL
Campello Motors,Altro XEV,IT,30174 Mestre - Ve,e74fc24f-2f2b-4219-812f-2fa43dc2e923,"€ 7.300,- 2",2,7300,https://www.autoscout24.it/annunci/others-xev-kitty-100-elettrica-autonomia-fino-150km-elettrica-bianco-e74fc24f-2f2b-4219-812f-2fa43dc2e923?cldtidx=5&cldtsrc=listPage,Kitty 100% ELETTRICA | Autonomia fino 150km
Autodiretto Srl,Aixam City,IT,24126 Bergamo,4f3dadca-885e-461b-a69f-502f87ceed9f,"€ 12.999,- 12",12,12999,https://www.autoscout24.it/annunci/aixam-city-e-city-premium-elettrica-bianco-4f3dadca-885e-461b-a69f-502f87ceed9f?cldtidx=6&cldtsrc=listPage,e-City Premium
Nextem Italia srl,Zhidou D2S,Emiliano Niccolai,IT,86ff953b-c0ba-4056-95f8-afd2286d024f,"€ 19.900,- 12",12,19900,https://www.autoscout24.it/annunci/zhidou-d2s-ant-el7-elettrica-nero-86ff953b-c0ba-4056-95f8-afd2286d024f?cldtidx=7&cldtsrc=listPage,Ant EL7
Nextem Italia srl,Zhidou D2S,IT,57126 Livorno - LI,6fd038df-aada-4e90-b985-5cd9620a60c8,"€ 21.900,- 2",2,21900,https://www.autoscout24.it/annunci/zhidou-d2s-colibri-el7-elettrica-rosso-6fd038df-aada-4e90-b985-5cd9620a60c8?cldtidx=8&cldtsrc=listPage,Colibri EL7
Nextem Italia srl,Zhidou D2S,Emiliano Niccolai,IT,b8fcc21e-64dd-4311-8a11-867b0d9c2926,"€ 18.900,- 12",12,18900,https://www.autoscout24.it/annunci/zhidou-d2s-geko-el7-elettrica-bianco-b8fcc21e-64dd-4311-8a11-867b0d9c2926?cldtidx=9&cldtsrc=listPage,Geko EL7
Nextem Italia srl,Zhidou D2S,IT,57126 Livorno - LI,af39c39f-86ad-44d3-82de-de6c18da60d5,"€ 24.900,- 12",12,24900,https://www.autoscout24.it/annunci/zhidou-d2s-owl-m1-elettrica-bianco-af39c39f-86ad-44d3-82de-de6c18da60d5?cldtidx=10&cldtsrc=listPage,Owl M1
Nextem Italia srl,Zhidou D2S,Emiliano Niccolai,IT,41312282-09c8-44a1-82c1-1072db06e451,"€ 22.900,- 12",12,22900,https://www.autoscout24.it/annunci/zhidou-d2s-bee-m1-elettrica-rosso-41312282-09c8-44a1-82c1-1072db06e451?cldtidx=11&cldtsrc=listPage,Bee M1
StarEmilia,smart forTwo,IT,44124 Ferrara - Fe,d3b90517-0c6b-4cd7-9dd1-409f07654d20,"€ 21.990,- 12",12,21990,https://www.autoscout24.it/annunci/smart-fortwo-eq-prime-elettrica-beige-d3b90517-0c6b-4cd7-9dd1-409f07654d20?cldtidx=12&cldtsrc=listPage,EQ Prime
StarEmilia,smart forTwo,IT,40033 Casalecchio di Reno - Bologna - Bo,5e51b2ec-4559-4a01-b4e9-bcbf19a5385e,"€ 22.090,- 12",12,22090,https://www.autoscout24.it/annunci/smart-fortwo-eq-pulse-elettrica-grigio-5e51b2ec-4559-4a01-b4e9-bcbf19a5385e?cldtidx=13&cldtsrc=listPage,EQ Pulse
Autoserenissima Padova,Honda e,IT,35127 Padova - Pd,02e51b88-b60a-47a6-a650-aedab44825d8,"€ 38.500,- 2",2,38500,https://www.autoscout24.it/annunci/honda-e-honda-electric-elettrica-bianco-02e51b88-b60a-47a6-a650-aedab44825d8?cldtidx=14&cldtsrc=listPage,Honda electric
Autoserenissima Vicenza,Honda e,IT,36100 Vicenza,6ccdb714-6168-40ab-b383-b6cfab61738c,"€ 38.500,- 2",2,38500,https://www.autoscout24.it/annunci/honda-e-honda-electric-elettrica-bianco-6ccdb714-6168-40ab-b383-b6cfab61738c?cldtidx=15&cldtsrc=listPage,Honda electric
