Carrozzeria,id_annuncio,Alimentazione,Tipo di veicolo,Anno,Marca,Modello,Porte,Posti a sedere,Tipo di cambio,Tipo di unita,Colore esterno,Emissioni di CO2,Rivestimenti,Colore originale,Marce,Tipo di vernice,Peso a vuoto,Usato Garantito,Per neopatentati,Proprietari,Cilindrata,Classe emissioni,Cilindri,Veicolo per non fumatori,Consumo carburante,Tagliandi certificati
City car,a7926c13-0dc8-4021-8d02-e2b71c7b61df,Elettrica,KM0,2017,Citroen,C-Zero,5,4,Automatico,posteriore,Bianco,0 g CO2/km (comb.),"Stoffa, Marrone",BIANCO ANTARTICO,3,Metallizzato,,12 mese,,,,,,,,
City car,c9ae6082-50f8-4f5f-8ea2-368d751d9260,Elettrica,KM0,2020,BMW,i3,5,4,Automatico,posteriore,Nero,0 g CO2/km (comb.),"Altro, Altro",FLUID BLACK CON ACCENTI IN BME,,Base,,,,,,,,,,
City car,656fc306-00be-49bc-b1ce-90bf566b56fd,Elettrica,KM0,2020,Renault,Twizy,2,2,Automatico,posteriore,Bianco,0 g CO2/km (comb.),"Altro, Nero",,,,,24 mese,,1,,,,,,
City car,e24b2217-d986-4aca-8f2d-4d7399a11b60,Elettrica,KM0,2011,Mitsubishi,I-MiEV,5,4,Automatico,posteriore,Bianco,0 g CO2/km (comb.),"Stoffa, Altro",SUMMIT WHITE (P),,Base,,,,,,,,,,
City car,67c419c2-2721-4812-9ca0-2ee809c6bf48,Elettrica,KM0,,BMW,i3,5,,Automatico,posteriore,Grigio,0 g CO2/km (comb.),"Stoffa, Nero",,,,,Sì,,,,,,,,Sì
City car,47efc8ed-4305-45e4-8c85-400b2c82ab30,Elettrica,KM0,2019,Peugeot,iOn,5,4,Automatico,posteriore,Bianco,0 g CO2/km (comb.),"Stoffa, Nero",BIANCO BANCHISA,1,,1140,24 mese,Sì,1,67,Euro 6d-TEMP,1,Sì,,
City car,11d0703c-8581-4da2-ac07-f45306998f2f,Elettrica,KM0,2017,Peugeot,iOn,,,Manuale,,Bianco,0 g CO2/km (comb.),"Stoffa, Grigio",Bianco antartico,,,,,,,,,,Sì,,
Cabrio,3f221f34-c88e-4dd2-b083-c8bf972c4d76,Elettrica,KM0,2020,smart,forTwo,2,2,Automatico,posteriore,Argento,0 g CO2/km (comb.),"Stoffa, Nero",Bodypanel in cool silver,,Metallizzato,1115,24 mese,Sì,,,,,,,
SUV/Fuoristrada/Pick-up,aa7b0d9a-9cad-4a8b-ae34-96dbcb2828b9,Elettrica,KM0,2020,Audi,Q3,5,5,Automatico,anteriore,Bianco,,"Stoffa, Nero",Bianco ghiaccio perlato,7,,,,,,1498,Euro 6,4,Sì,"6 l/100 km (comb.)
7 l/100 km (urbano)
6 l/100 km (extraurbano)",
SUV/Fuoristrada/Pick-up,86aca01d-9b84-4724-b205-328948960a88,Elettrica,KM0,2020,Peugeot,2008,5,5,,anteriore,Blu/Azzurro,0 g CO2/km (comb.),"Stoffa, Nero",Blu,,Metallizzato,,24 mese,,,,Euro 6,,,,
SUV/Fuoristrada/Pick-up,2caea14b-d79e-45c6-b6e6-f652c3f2b935,Elettrica,KM0,2020,Mazda,MX-30,5,5,Automatico,anteriore,Bianco,0 g CO2/km (comb.),Pelle parziale,,1,Metallizzato,1720,36 mese,,1,,Euro 6d-TEMP,1,Sì,,
