Carrozzeria,id_annuncio,Alimentazione,Tipo di veicolo,Anno,Marca,Modello,Porte,Posti a sedere,Tipo di cambio,Tipo di unita,Colore esterno,Emissioni di CO2,Rivestimenti,Colore originale,Tipo di vernice,Marce,Peso a vuoto,Usato Garantito,Per neopatentati,Proprietari,Cilindrata,Classe emissioni,Cilindri,Veicolo per non fumatori,Consumo carburante,Tagliandi certificati
City car,81097bdb-4ab0-415f-bfe9-7b49a9760c70,Elettrica,Nuovo,,smart,forTwo,3,2,Automatico,posteriore,Verde,,"Pelle totale, Beige",Verde,Metallizzato,1,1085,24 mese,Sì,,,,,,"15,2 l/100 km (comb.)",
City car,da074332-9033-4c69-bb5d-d3e83dfde12a,Elettrica,Nuovo,,Renault,Twingo,5,4,Automatico,posteriore,Blu/Azzurro,0 g CO2/km (comb.),"Stoffa, Nero",BLU SHOPPING,,5,1064,60 mese,,,1,Euro 6d-TEMP,3,,,
City car,a4bcdd78-9520-46d4-b27c-161b870e94ae,Elettrica,Nuovo,,MINI,Cooper,3,4,Automatico,anteriore,Argento,,"Pelle totale, Nero",Vari colori,Base,1,1440,24 mese,,,,,,,"14,8 l/100 km (comb.)",
City car,b5229cbc-04f7-44e8-b7da-68ad9327ac2d,Elettrica,Nuovo,,MINI,Cooper,3,4,Automatico,anteriore,Nero,,"Pelle totale, Nero",Enigmatic Black MINI Yours,Base,1,1440,24 mese,,,,,,,"14,8 l/100 km (comb.)",
City car,4f3dadca-885e-461b-a69f-502f87ceed9f,Elettrica,Nuovo,,Aixam,City,3,2,Manuale,anteriore,Bianco,0 g CO2/km (comb.),"Stoffa, Nero",Bianco perlato,,,,,,,,,,,,
City car,86ff953b-c0ba-4056-95f8-afd2286d024f,Elettrica,Nuovo,,Zhidou,D2S,2,2,Automatico,anteriore,Nero,0 g CO2/km (comb.),"Pelle totale, Beige",,,2,,,,,,Euro 6,,,,
City car,6fd038df-aada-4e90-b985-5cd9620a60c8,Elettrica,Nuovo,,Zhidou,D2S,2,2,Automatico,anteriore,Rosso,0 g CO2/km (comb.),"Pelle totale, Nero",,,2,,,,,,Euro 6,,,,
City car,b8fcc21e-64dd-4311-8a11-867b0d9c2926,Elettrica,Nuovo,,Zhidou,D2S,2,2,Automatico,anteriore,Bianco,0 g CO2/km (comb.),"Altro, Beige",,,2,,,,0,,Euro 6,,,,
City car,af39c39f-86ad-44d3-82de-de6c18da60d5,Elettrica,Nuovo,,Zhidou,D2S,2,2,Automatico,anteriore,Bianco,0 g CO2/km (comb.),"Altro, Nero",,,2,,,,,,,,,,
City car,41312282-09c8-44a1-82c1-1072db06e451,Elettrica,Nuovo,,Zhidou,D2S,2,2,Automatico,anteriore,Rosso,0 g CO2/km (comb.),"Altro, Nero",,,2,,,,,,Euro 6,,,,
City car,d3b90517-0c6b-4cd7-9dd1-409f07654d20,Elettrica,Nuovo,,smart,forTwo,3,2,Automatico,posteriore,Beige,0 g CO2/km (comb.),"Pelle totale, Nero",Champagne Beige,Metallizzato,1,1085,24 mese,Sì,,,,,,,
City car,5e51b2ec-4559-4a01-b4e9-bcbf19a5385e,Elettrica,Nuovo,,smart,forTwo,3,2,Automatico,posteriore,Grigio,0 g CO2/km (comb.),"Stoffa, Nero",Grey Matt,Base,1,1085,24 mese,Sì,,,,,,,
City car,02e51b88-b60a-47a6-a650-aedab44825d8,Elettrica,Nuovo,,Honda,e,,,Automatico,,Bianco,0 g CO2/km (comb.),,Bianco,Base,,,,,,,,,,,
City car,6ccdb714-6168-40ab-b383-b6cfab61738c,Elettrica,Nuovo,,Honda,e,,,Automatico,,Bianco,0 g CO2/km (comb.),,Bianco,Base,,,,,,,,,,,
City car,da36da73-060f-4394-ac8b-1e8f4dd4cfd5,Elettrica,Nuovo,,Honda,e,4,5,,anteriore,Bianco,0 g CO2/km (comb.),,,,,1513,,,0,,,,,,
City car,cdddcb97-2e58-47a5-b8fd-fc1312035070,Elettrica,Nuovo,,MINI,Cooper SE,3,4,Automatico,anteriore,Blu/Azzurro,0 g CO2/km (comb.),"Pelle totale, Nero",ENIGMATIC BLACK,Metallizzato,1,1440,Sì,,0,1,Euro 6d-TEMP,1,Sì,,
City car,5701ea4f-5ce3-4778-b108-8c3d1baebd4b,Elettrica,Nuovo,,MINI,Cooper SE,3,4,Automatico,anteriore,Argento,0 g CO2/km (comb.),"Pelle totale, Nero",WHITE SILVER,Metallizzato,1,1440,72 mese,,0,1,Euro 6d-TEMP,1,Sì,,
City car,0184d51d-bcbd-4ebf-8bb5-0cacf4c3007b,Elettrica,Nuovo,,smart,forTwo,3,2,Automatico,posteriore,Argento,0 g CO2/km (comb.),"Stoffa, Nero",Argento,Metallizzato,1,1085,24 mese,Sì,,,,,,,
City car,69c562fb-6e52-442f-9d99-12066f1bc7c0,Elettrica,Nuovo,,smart,forTwo,3,2,Automatico,posteriore,Argento,0 g CO2/km (comb.),"Stoffa, Nero",Argento,Metallizzato,1,1085,24 mese,Sì,,,,,,,
City car,68236dea-5a0d-42b8-9ef5-c654b7a7fca0,Elettrica,Nuovo,,smart,forTwo,3,2,Automatico,posteriore,Beige,0 g CO2/km (comb.),"Pelle totale, Nero",champagne beige,Metallizzato,1,1085,24 mese,Sì,,,,,,,
City car,c45699f3-d0d3-4975-9ed1-3255ee424fa8,Elettrica,Nuovo,,smart,forTwo,3,2,Automatico,posteriore,Nero,0 g CO2/km (comb.),"Stoffa, Nero",Nero,Base,1,1085,24 mese,Sì,,,,,,,
City car,b53ce780-f49c-46be-ab73-08e2cdfb48a8,Elettrica,Nuovo,,smart,forTwo,3,2,Automatico,posteriore,Grigio,0 g CO2/km (comb.),"Pelle totale, Nero",Grigio,Base,1,1085,24 mese,Sì,,,,,,,
City car,4b138a47-6c33-49d4-b058-ecc9f64c8528,Elettrica,Nuovo,,smart,forTwo,3,2,Automatico,posteriore,Nero,0 g CO2/km (comb.),"Stoffa, Nero",Nero,Base,1,1085,24 mese,Sì,,,,,,,
City car,ac1e6b24-11d2-42a2-b47f-64b5569c1242,Elettrica,Nuovo,,smart,forTwo,3,2,Automatico,posteriore,Grigio,0 g CO2/km (comb.),"Stoffa, Nero",Grey Matt,Base,1,1085,24 mese,Sì,,,,,,,
City car,6c2f6a8e-8cbf-451f-8d0a-c46dc637e69f,Elettrica,Nuovo,,smart,forTwo,3,2,Automatico,posteriore,Grigio,0 g CO2/km (comb.),"Pelle totale, Nero",Grigio,Base,1,1085,24 mese,Sì,,,,,,,
City car,b2b568eb-d791-4299-b609-65118fce02b9,Elettrica,Nuovo,,Tazzari EV,Zero Junior,3,2,Automatico,anteriore,Grigio,0 g CO2/km (comb.),"Stoffa, Rosso",,Metallizzato,,,24 mese,,0,,,,,,
Cabrio,dfc93a2f-bd75-44fb-9968-dc3fb51fb7d5,Elettrica,Nuovo,,smart,forTwo,2,2,Automatico,anteriore,Argento,0 g CO2/km (comb.),"Stoffa, Nero",Bodypanel in cool silver,Metallizzato,,1125,24 mese,Sì,,,,,,,
Cabrio,57f2a4d5-2c86-48d6-b302-b8c9567f2454,Elettrica,Nuovo,,smart,forTwo,3,2,Automatico,posteriore,Nero,0 g CO2/km (comb.),"Stoffa, Nero",Bodypanels in black,Base,1,1190,24 mese,Sì,,,Euro 6,,,,
Cabrio,af2c5d0c-8637-4241-8cb2-f2374ebbdcd0,Elettrica,Nuovo,,smart,forTwo,3,2,Automatico,posteriore,Grigio,0 g CO2/km (comb.),"Stoffa, Nero",Grigio,,1,,,,,,,,,,
Cabrio,82b06eb7-9f5e-4938-988d-d4d1b5d5695a,Elettrica,Nuovo,,smart,forTwo,3,2,Automatico,posteriore,Argento,0 g CO2/km (comb.),"Stoffa, Nero",Cool Silver,Metallizzato,1,1115,24 mese,Sì,,,,,,,
Cabrio,afc76ee1-cb3f-4b96-8287-e829f0c741fb,Elettrica,Nuovo,,smart,forTwo,3,2,Automatico,posteriore,Grigio,0 g CO2/km (comb.),"Stoffa, Nero",Grey Matt,Base,1,1115,24 mese,Sì,,,,,,,
Coupé,0b117a4e-a652-41b1-8ea6-42e4284446df,Elettrica,Nuovo,,smart,forTwo,3,2,Automatico,posteriore,Nero,0 g CO2/km (comb.),"Stoffa, Nero",British Green,Base,1,1085,24 mese,,,,Euro 6,,,,
Coupé,3f134394-0ffc-45c6-a880-3abb9928a551,Elettrica,Nuovo,,smart,forTwo,3,2,Automatico,posteriore,Verde,0 g CO2/km (comb.),"Stoffa, Nero",British Green,Metallizzato,1,1085,24 mese,,,,Euro 6,,,,
Coupé,f35e7a36-24d6-4987-8482-55ce5d4ebcb4,Elettrica,Nuovo,,smart,forTwo,3,2,Automatico,posteriore,Nero,0 g CO2/km (comb.),"Stoffa, Nero",British Green,Base,1,1085,24 mese,,,,Euro 6,,,,
Coupé,461a6eb3-259a-448b-8e4f-b3705b9078ed,Elettrica,Nuovo,,smart,forTwo,3,2,Automatico,posteriore,Verde,0 g CO2/km (comb.),"Stoffa, Nero",British Green,Base,1,1085,24 mese,,,,Euro 6,,,,
Coupé,159c64c0-109e-4f49-99ba-eec24c349bda,Elettrica,Nuovo,,smart,forTwo,3,2,Automatico,posteriore,Rosso,0 g CO2/km (comb.),"Stoffa, Nero",bodypanels in carmine red (met,Metallizzato,1,1085,24 mese,,,,Euro 6,,,,
Coupé,f889758e-5ed2-455d-a38b-6a680cd05c7e,Elettrica,Nuovo,,smart,forTwo,3,2,Automatico,posteriore,Bronzo,0 g CO2/km (comb.),"Stoffa, Nero",bodypanels in gold beige (meta,Metallizzato,1,1085,24 mese,,,,Euro 6,1,,,
Coupé,b02390bc-b8c5-473e-9750-018c210e810e,Elettrica,Nuovo,,smart,forTwo,3,2,Automatico,posteriore,Grigio,,"Pelle totale, Altro",,,1,,,,,,,,,"15,2 l/100 km (comb.)",
SUV/Fuoristrada/Pick-up,93a18f02-c5e8-4dcc-a6f3-24b078ca436b,Elettrica,Nuovo,,Audi,e-tron,5,5,Automatico,4x4,Nero,0 g CO2/km (comb.),"Altro, Altro",,Metallizzato,1,,,,,,,,,,
SUV/Fuoristrada/Pick-up,4193362e-3288-4004-bd43-ab6c9e7845c1,Elettrica,Nuovo,,Audi,e-tron,5,5,Automatico,4x4,Nero,0 g CO2/km (comb.),"Altro, Altro",,Metallizzato,1,,,,,,,,,,
