Carrozzeria,id_annuncio,Alimentazione,Tipo di veicolo,Anno,Marca,Modello,Porte,Posti a sedere,Tipo di cambio,Tipo di unita,Colore esterno,Emissioni di CO2,Rivestimenti,Colore originale,Tipo di vernice,Marce,Peso a vuoto,Usato Garantito,Per neopatentati,Proprietari,Cilindrata,Classe emissioni,Cilindri,Veicolo per non fumatori,Consumo carburante,Tagliandi certificati
City car,036200b5-4bbc-440f-b32a-da17563b4252,Elettrica/Benzina,Nuovo,,Honda,Jazz,5,5,Automatico,anteriore,Grigio,82 g CO2/km (comb.),"Stoffa, Nero",SHINING GRAY METALLIC,Metallizzato,,,36 mese,,,1500,Euro 6,4,,"3,6 l/100 km (comb.)
2,4 l/100 km (urbano)
4,3 l/100 km (extraurbano)",
City car,d60c2eb5-271e-4f36-a7ae-a5b7b0446cc6,Elettrica/Benzina,Nuovo,,Honda,Jazz,5,5,Automatico,anteriore,Bianco,82 g CO2/km (comb.),"Stoffa, Nero",CRYSTAL BLACK PEARL,Base,,,36 mese,,,1500,Euro 6,4,,"3,6 l/100 km (comb.)
2,4 l/100 km (urbano)
4,3 l/100 km (extraurbano)",
City car,b8a3b044-0324-4ef0-9cef-b0d4cf8bcdd6,Elettrica/Benzina,Nuovo,,Fiat,500,3,4,Manuale,anteriore,Rosso,88 g CO2/km (comb.),,Rosso,Base,6,1055,24 mese,Sì,,999,Euro 6,3,,"3,9 l/100 km (comb.)
4,7 l/100 km (urbano)
3,4 l/100 km (extraurbano)",
City car,d33a2bb6-d6a2-4936-a6ce-802149f62423,Elettrica/Benzina,Nuovo,,Fiat,500,3,4,Manuale,anteriore,Rosso,88 g CO2/km (comb.),,Rosso,Base,6,1055,24 mese,Sì,,999,Euro 6,3,,"3,9 l/100 km (comb.)
4,7 l/100 km (urbano)
3,4 l/100 km (extraurbano)",
City car,4fe57bb1-554d-4c37-9ad2-5b492b33825f,Elettrica/Benzina,Nuovo,,Fiat,500,3,4,Manuale,anteriore,Rosso,88 g CO2/km (comb.),,Rosso,Base,6,1055,24 mese,Sì,,999,Euro 6,3,,"3,9 l/100 km (comb.)
4,7 l/100 km (urbano)
3,4 l/100 km (extraurbano)",
City car,56515b84-942f-48ca-8c70-fc6664e47433,Elettrica/Benzina,Nuovo,,Fiat,Panda,5,4,Manuale,anteriore,Bianco,89 g CO2/km (comb.),"Stoffa, Nero",BIANCO GELATO,,6,1055,,Sì,,999,Euro 6d-TEMP,3,,"3,9 l/100 km (comb.)
4,6 l/100 km (urbano)
3,5 l/100 km (extraurbano)",
City car,2a374751-5bd8-4848-9e8b-9423f87d63ee,Elettrica/Benzina,Nuovo,,Fiat,New Panda,5,4,Manuale,anteriore,Arancione,119 g CO2/km (comb.),"Stoffa, Altro",,,5,865,,,0,1242,Euro 6d-TEMP,4,Sì,"5,1 l/100 km (comb.)
6,6 l/100 km (urbano)
4,3 l/100 km (extraurbano)",
City car,2583ff1b-5678-44ba-adc1-8d50fac8b928,Elettrica/Benzina,Nuovo,,Toyota,Yaris,5,5,Automatico,,Blu/Azzurro,,,Urban Blue,,,,36 mese,,0,,,,Sì,,
City car,dc763785-b7c5-4a8f-af50-e69cb93ae312,Elettrica/Benzina,Nuovo,,Fiat,500,3,4,Manuale,anteriore,Grigio,88 g CO2/km (comb.),,GRIGIO CARRARA,Base,6,1055,24 mese,Sì,,999,Euro 6,3,,"3,9 l/100 km (comb.)
4,7 l/100 km (urbano)
3,4 l/100 km (extraurbano)",
City car,41d83e44-3df5-4b43-a017-6362c8424548,Elettrica/Benzina,Nuovo,,Mazda,2,5,5,Manuale,anteriore,Grigio,94 g CO2/km (comb.),Stoffa,,Metallizzato,6,1025,,,,1496,Euro 6d-TEMP,4,,"4,1 l/100 km (comb.)
4,8 l/100 km (urbano)
3,7 l/100 km (extraurbano)",
