Carrozzeria,id_annuncio,Alimentazione,Tipo di veicolo,Anno,Marca,Modello,Porte,Posti a sedere,Tipo di cambio,Tipo di unita,Colore esterno,Emissioni di CO2,Rivestimenti,Colore originale,Tipo di vernice,Marce,Peso a vuoto,Usato Garantito,Per neopatentati,Proprietari,Cilindrata,Classe emissioni,Cilindri,Veicolo per non fumatori,Consumo carburante,Tagliandi certificati
SUV/Fuoristrada/Pick-up,2b8a6a3a-69ba-471a-ac1e-1eba3d5473a9,Metano,Nuovo,,SEAT,Arona,5,5,Manuale,anteriore,Grigio,98 g CO2/km (comb.),"Stoffa, Altro",Magnetic Tech Nero Midnight,Metallizzato,6,1305,48 mese,Sì,,999,Euro 6d-TEMP,3,,"3,5 kg/100 km (comb.)
4,3 kg/100 km (urbano)
3 kg/100 km (extraurbano)",
SUV/Fuoristrada/Pick-up,912dff61-475d-48b8-8a92-411436d8e179,Metano,Nuovo,,SEAT,Arona,5,5,Manuale,anteriore,Bianco,98 g CO2/km (comb.),"Alcantara, Nero",Bianco Candy Nero Midnight,Metallizzato,6,1305,48 mese,Sì,,999,Euro 6d-TEMP,3,,"3,5 kg/100 km (comb.)
4,3 kg/100 km (urbano)
3 kg/100 km (extraurbano)",
SUV/Fuoristrada/Pick-up,13b6c2e6-a73c-4c5e-a219-397cc15005b5,Metano,Nuovo,,SEAT,Arona,5,5,Manuale,anteriore,Rosso,98 g CO2/km (comb.),"Alcantara, Nero",ROSSO DESIRE TETTO NERO,Metallizzato,6,1308,48 mese,Sì,0,999,Euro 6d-TEMP,3,,"3,5 kg/100 km (comb.)
4,3 kg/100 km (urbano)
3 kg/100 km (extraurbano)",
SUV/Fuoristrada/Pick-up,a5f0a9f6-b893-46a7-98d0-5a2bd7ef06aa,Metano,Nuovo,,SEAT,Arona,5,5,Manuale,anteriore,Bianco,98 g CO2/km (comb.),"Stoffa, Grigio",BIANCO CANDY,,6,1308,24 mese,Sì,,999,Euro 6d-TEMP,3,,"3,5 kg/100 km (comb.)
4,3 kg/100 km (urbano)
3 kg/100 km (extraurbano)",
SUV/Fuoristrada/Pick-up,c96bf025-5bf8-4a89-8121-acbeec3b2f64,Metano,Nuovo,,Skoda,Kamiq,5,5,Manuale,anteriore,Nero,115 g CO2/km (comb.),,Nero,Metallizzato,6,,,,,999,Euro 6,3,,"4,7 kg/100 km (comb.)
5,6 kg/100 km (urbano)
4,2 kg/100 km (extraurbano)",
SUV/Fuoristrada/Pick-up,d1924f2b-c4ef-4bcf-a0a8-2498e63eaffd,Metano,Nuovo,,Skoda,Kamiq,5,5,Manuale,anteriore,Grigio,115 g CO2/km (comb.),,Grigio scuro,Metallizzato,6,,,,,999,Euro 6,3,,"4,7 kg/100 km (comb.)
5,6 kg/100 km (urbano)
4,2 kg/100 km (extraurbano)",
SUV/Fuoristrada/Pick-up,93d111e3-4e95-4185-af03-a7b979396c26,Metano,Nuovo,,Skoda,Kamiq,5,5,Manuale,anteriore,Bianco,115 g CO2/km (comb.),,Bianco,Base,6,,,,,999,Euro 6,3,,"4,7 kg/100 km (comb.)
5,6 kg/100 km (urbano)
4,2 kg/100 km (extraurbano)",
SUV/Fuoristrada/Pick-up,7df73bad-e7d9-4a53-9052-b77dc10b9d21,Metano,Nuovo,,SEAT,Arona,5,5,Manuale,anteriore,Rosso,98 g CO2/km (comb.),"Stoffa, Nero",ROSSO DESIRE,Metallizzato,6,1308,24 mese,Sì,,999,Euro 6d-TEMP,3,,"3,5 kg/100 km (comb.)
4,3 kg/100 km (urbano)
3 kg/100 km (extraurbano)",
SUV/Fuoristrada/Pick-up,70080804-d546-451c-b599-a3e6104e9fc5,Metano,Nuovo,,SEAT,Arona,5,5,Manuale,anteriore,Grigio,98 g CO2/km (comb.),"Stoffa, Altro",Magnetic Tech Nero Midnight,Metallizzato,6,1308,48 mese,Sì,,999,Euro 6d-TEMP,3,,"3,5 kg/100 km (comb.)
4,3 kg/100 km (urbano)
3 kg/100 km (extraurbano)",
SUV/Fuoristrada/Pick-up,04818431-e45f-44e7-aa97-9f87b6a56001,Metano,Nuovo,,SEAT,Arona,5,5,Manuale,anteriore,Rosso,98 g CO2/km (comb.),"Alcantara, Nero",ROSSO DESIRE TETTO NERO,Metallizzato,6,1308,48 mese,Sì,0,999,Euro 6d-TEMP,3,,"3,5 kg/100 km (comb.)
4,3 kg/100 km (urbano)
3 kg/100 km (extraurbano)",
SUV/Fuoristrada/Pick-up,98bb18ea-4935-4c3c-8064-64273375e802,Metano,Nuovo,,SEAT,Arona,5,5,Manuale,anteriore,Bianco,98 g CO2/km (comb.),"Stoffa, Nero",BIANCO CANDY TETTO GRIGIO,Metallizzato,6,1308,48 mese,Sì,0,999,Euro 6d-TEMP,3,,"3,5 kg/100 km (comb.)
4,3 kg/100 km (urbano)
3 kg/100 km (extraurbano)",
SUV/Fuoristrada/Pick-up,e0ec21db-28f9-4db4-b834-36d4a66fa2d2,Metano,Nuovo,,SEAT,Arona,5,5,Manuale,anteriore,Grigio,98 g CO2/km (comb.),"Stoffa, Nero",GRIGIO MAGNETICO TETTO NERO,Metallizzato,6,1308,48 mese,Sì,0,999,Euro 6d-TEMP,3,,"3,5 kg/100 km (comb.)
4,3 kg/100 km (urbano)
3 kg/100 km (extraurbano)",
SUV/Fuoristrada/Pick-up,5e8b8a15-9e20-4cb1-87a9-417cd0bd8499,Metano,Nuovo,,SEAT,Arona,5,5,Manuale,anteriore,Argento,98 g CO2/km (comb.),"Stoffa, Grigio",Argento urban,Metallizzato,6,1308,24 mese,Sì,0,999,Euro 6d-TEMP,3,,"3,5 kg/100 km (comb.)
4,3 kg/100 km (urbano)
3 kg/100 km (extraurbano)",
