Carrozzeria,id_annuncio,Alimentazione,Tipo di cambio,Tipo di veicolo,Marca,Modello,Porte,Tipo di unita,Cilindrata,Posti a sedere,Cilindri,Colore esterno,Marce,Classe emissioni,Emissioni di CO2,Consumo carburante,Colore originale,Rivestimenti,Tipo di vernice,Peso a vuoto,Usato Garantito,Proprietari,Per neopatentati,Veicolo per non fumatori,Anno,Tagliandi certificati
City car,bd9d22e1-5abf-4599-b50c-0735752f2a75,Diesel,Manuale,KM0,Peugeot,208,5,anteriore,1499,5,4,Bianco,6,,98 g CO2/km (comb.),"3,7 l/100 km (comb.)
4,4 l/100 km (urbano)
3,4 l/100 km (extraurbano)",Bianco,"Stoffa, Nero",,,12 mese,,,,2020,
City car,fdd295f1-d4b5-4085-8b99-1612930299b4,Diesel,Manuale,KM0,Peugeot,208,5,anteriore,1499,5,4,Bianco,6,Euro 6d-TEMP,86 g CO2/km (comb.),"3,3 l/100 km (comb.)
3,7 l/100 km (urbano)
3 l/100 km (extraurbano)",Bianco,"Altro, Nero",,,12 mese,,,,2020,
City car,efa31af6-9db2-4b25-a5cb-9fecb8e4a249,Diesel,Manuale,KM0,Peugeot,208,5,anteriore,1499,5,4,Grigio,6,Euro 6d-TEMP,86 g CO2/km (comb.),"3,3 l/100 km (comb.)
3,7 l/100 km (urbano)
3 l/100 km (extraurbano)",Grigio,"Altro, Nero",Metallizzato,,12 mese,,,,2020,
City car,6afde796-6772-415b-89d1-f9756ef81c90,Diesel,Manuale,KM0,Opel,Corsa,5,anteriore,1499,5,,Grigio,5,Euro 6,,,Grigio Platinum,"Stoffa, Grigio",Metallizzato,,24 mese,,,,2019,
City car,b41489df-4145-493b-8cdb-1e1e83092f66,Diesel,Manuale,KM0,Citroen,C3,5,anteriore,1499,5,,Grigio,5,Euro 6,86 g CO2/km (comb.),"3,2 l/100 km (comb.)
3,6 l/100 km (urbano)
3 l/100 km (extraurbano)",Grigio Platinium,"Stoffa, Grigio",Metallizzato,,24 mese,,,,2020,
City car,d75889d8-5690-4363-a672-baecbd4c1767,Diesel,Manuale,KM0,Citroen,C3,5,anteriore,1499,5,,Bianco,5,Euro 6,86 g CO2/km (comb.),"3,2 l/100 km (comb.)
3,6 l/100 km (urbano)
3 l/100 km (extraurbano)",Bianco,"Stoffa, Grigio",Metallizzato,,24 mese,,,,2020,
City car,e1ad47b6-a43c-401b-a713-7407c6fdc506,Diesel,Manuale,KM0,Citroen,C3,5,anteriore,1499,5,,Bianco,5,Euro 6,86 g CO2/km (comb.),"3,2 l/100 km (comb.)
3,6 l/100 km (urbano)
3 l/100 km (extraurbano)",Bianco,"Stoffa, Grigio",Metallizzato,,24 mese,,,,2020,
City car,c5a5a5ab-4bec-4cda-a3c8-1cd0b28b75a7,Diesel,Manuale,KM0,Peugeot,208,5,anteriore,1499,5,4,Nero,6,Euro 6d-TEMP,98 g CO2/km (comb.),"3,7 l/100 km (comb.)
4,4 l/100 km (urbano)
3,4 l/100 km (extraurbano)",Nero,"Stoffa, Nero",Metallizzato,,12 mese,,,,2020,
City car,2d4a2638-718e-4d67-a791-53e0c5767819,Diesel,Manuale,KM0,Peugeot,208,5,anteriore,1499,5,4,Bianco,6,,98 g CO2/km (comb.),"3,7 l/100 km (comb.)
4,4 l/100 km (urbano)
3,4 l/100 km (extraurbano)",Bianco,"Stoffa, Nero",,,12 mese,,,,2020,
City car,7441ef95-8d9b-4d46-94e0-63a7d9387d58,Diesel,Automatico,KM0,Aixam,City,3,anteriore,479,2,2,Blu/Azzurro,,Euro 4,80 g CO2/km (comb.),,Blu,"Pelle parziale, Nero",Base,500,24 mese,,Sì,,2020,
City car,6e24c72d-e498-4ae1-8dc8-1d8215c7198d,Diesel,Manuale,KM0,Volkswagen,Touran,5,anteriore,1968,7,,Nero,,,116 g CO2/km (comb.),"4,6 l/100 km (comb.)
5,4 l/100 km (urbano)
4,1 l/100 km (extraurbano)",Nero,"Altro, Nero",Base,,,,,,2020,
City car,b9b8e39e-2132-47ad-9b3c-a695f62f7b91,Diesel,Manuale,KM0,Volkswagen,Polo,5,anteriore,1598,5,,Grigio,,,97 g CO2/km (comb.),"3,7 l/100 km (comb.)
4,2 l/100 km (urbano)
3,4 l/100 km (extraurbano)",Argento,"Altro, Nero",Base,,,,,,2020,
City car,d6caa292-69cb-4d21-83d9-eb0bc2073d66,Diesel,Automatico,KM0,Volkswagen,Polo,5,anteriore,1598,5,,Grigio,,,103 g CO2/km (comb.),"3,9 l/100 km (comb.)
4,3 l/100 km (urbano)
3,7 l/100 km (extraurbano)",Grigio,"Altro, Nero",Base,,,,,,2020,
City car,39342c40-8387-4f8d-bfce-04540efe624e,Diesel,Automatico,KM0,Volkswagen,Polo,5,anteriore,1598,5,,Blu/Azzurro,,,103 g CO2/km (comb.),"3,9 l/100 km (comb.)
4,3 l/100 km (urbano)
3,7 l/100 km (extraurbano)",Blu,"Altro, Nero",Base,,,,,,2020,
City car,48a05162-2637-4132-8588-d217ddc6f405,Diesel,Automatico,KM0,Ford,Galaxy,5,anteriore,4,7,4,Bianco,8,Euro 6,138 g CO2/km (comb.),"4,9 l/100 km (comb.)
6,1 l/100 km (urbano)
5,4 l/100 km (extraurbano)",Frozen White- Pastello,"Stoffa, Nero",,1685,24 mese,1,,Sì,2020,Sì
