seller,vehicle,country,address,id_annuncio,asking_price,conditional_on_price,price,link_annuncio,vehicle_user_desc
Ratti non Solo Auto srl,Citroen C-Zero,IT,23890 Barzago - Lecco - Lc,a7926c13-0dc8-4021-8d02-e2b71c7b61df,"€ 10.995,- 12",12,10995,https://www.autoscout24.it/annunci/citroen-c-zero-full-electric-seduction-elettrica-bianco-a7926c13-0dc8-4021-8d02-e2b71c7b61df?cldtidx=1&cldtsrc=listPage,Full Electric Seduction
Mobility.it - Km 0 - Gruppo Lario,BMW i3,IT,20125 Milano - Mi,c9ae6082-50f8-4f5f-8ea2-368d751d9260,"€ 36.500,- 2",2,36500,https://www.autoscout24.it/annunci/bmw-i3-i3-120-ah-advantage-8p21-elettrica-nero-c9ae6082-50f8-4f5f-8ea2-368d751d9260?cldtidx=2&cldtsrc=listPage,I3 120 AH ADVANTAGE (8P21)
Autobase Srl,Renault Twizy,IT,35020 Albignasego – Padova - Pd,656fc306-00be-49bc-b1ce-90bf566b56fd,"€ 8.900,- 12",12,8900,https://www.autoscout24.it/annunci/renault-twizy-twizy-80-life-flex-elettrica-bianco-656fc306-00be-49bc-b1ce-90bf566b56fd?cldtidx=3&cldtsrc=listPage,Twizy 80 Life Flex
Sinauto Srl,Mitsubishi I-MiEV,IT,25080 Molinetto Di Mazzano - Brescia - Bs,e24b2217-d986-4aca-8f2d-4d7399a11b60,"€ 14.800,- 2",2,14800,https://www.autoscout24.it/annunci/mitsubishi-i-miev-i-miev-navy-elettrica-bianco-e24b2217-d986-4aca-8f2d-4d7399a11b60?cldtidx=4&cldtsrc=listPage,I-MIEV NAVY
NANNI NEMBER SRL,BMW i3,IT,25126 Brescia - Bs,67c419c2-2721-4812-9ca0-2ee809c6bf48,"€ 39.900,- 2",2,39900,https://www.autoscout24.it/annunci/bmw-i3-s-120ah-elettrica-grigio-67c419c2-2721-4812-9ca0-2ee809c6bf48?cldtidx=5&cldtsrc=listPage,s 120Ah
Europea Auto Srl,Peugeot iOn,IT,20831 Seregno - Monza Brianza - Mb,47efc8ed-4305-45e4-8c85-400b2c82ab30,"€ 14.900,- 12",12,14900,https://www.autoscout24.it/annunci/peugeot-ion-active-elettrica-bianco-47efc8ed-4305-45e4-8c85-400b2c82ab30?cldtidx=6&cldtsrc=listPage,Active
Estense Motori Srl,Peugeot iOn,IT,44122 Ferrara - Fe,11d0703c-8581-4da2-ac07-f45306998f2f,"€ 17.900,- 12",12,17900,https://www.autoscout24.it/annunci/peugeot-ion-ion-e9-el-active-30-elettrica-bianco-11d0703c-8581-4da2-ac07-f45306998f2f?cldtidx=7&cldtsrc=listPage,ION E9 EL ACTIVE 30
Bonera Spa,smart forTwo,IT,25135 Brescia - Bs,3f221f34-c88e-4dd2-b083-c8bf972c4d76,"€ 20.999,- 12",12,20999,https://www.autoscout24.it/annunci/smart-fortwo-cabrio-eq-passion-my19-elettrica-argento-3f221f34-c88e-4dd2-b083-c8bf972c4d76?cldtidx=1&cldtsrc=listPage,Cabrio eq Passion my19
In Car Srl,Audi Q3,Appoloni Andrea,IT,aa7b0d9a-9cad-4a8b-ae34-96dbcb2828b9,"€ 41.900,- 1",1,41900,https://www.autoscout24.it/annunci/audi-q3-q3-spb-35-tfsi-s-tronic-business-plus-elettrica-bianco-aa7b0d9a-9cad-4a8b-ae34-96dbcb2828b9?cldtidx=1&cldtsrc=listPage,Q3 SPB 35 TFSI S tronic Business Plus
F.lli Nani Srl,Peugeot 2008,IT,54100 Massa - Ms,86aca01d-9b84-4724-b205-328948960a88,"€ 31.400,- 1",1,31400,https://www.autoscout24.it/annunci/peugeot-2008-motore-elettrico-136-cv-gt-line-elettrica-blu-azzurro-86aca01d-9b84-4724-b205-328948960a88?cldtidx=2&cldtsrc=listPage,motore elettrico 136 CV GT Line
