seller,vehicle,country,address,id_annuncio,asking_price,conditional_on_price,price,link_annuncio,vehicle_user_desc
Guidi Car Srl,Kia Picanto,IT,51017 Montecatini Terme - Pistoia - Pt,1922c448-e690-4a1a-855c-5405cd961e73,"€ 11.800,- 12",12,11800,https://www.autoscout24.it/annunci/kia-picanto-new-g6-picanto-isg-1-0-gpl-active-bt-conver-g-gpl-nero-1922c448-e690-4a1a-855c-5405cd961e73?cldtidx=1&cldtsrc=listPage,New (G6) PICANTO ISG 1.0 GPL ACTIVE BT * Conver. G
Guidi Car Srl,Kia Picanto,IT,51017 Montecatini Terme - Pistoia - Pt,e9ed75ee-edc1-4b5d-aa03-17b630e634b9,"€ 11.800,- 12",12,11800,https://www.autoscout24.it/annunci/kia-picanto-new-g6-picanto-isg-1-0-gpl-active-bt-conver-g-gpl-nero-e9ed75ee-edc1-4b5d-aa03-17b630e634b9?cldtidx=2&cldtsrc=listPage,New (G6) PICANTO ISG 1.0 GPL ACTIVE BT * Conver. G
Zancauto FCA Official,Fiat 500,IT,37040 Zimella - Verona - VR,1d967120-271e-488f-9c30-3baecff90995,"€ 12.450,- 12",12,12450,https://www.autoscout24.it/annunci/fiat-500-s7-1-2-gpl-69-cv-pop-stock-settembre-gpl-rosso-1d967120-271e-488f-9c30-3baecff90995?cldtidx=3&cldtsrc=listPage,S7 1.2 GPL 69 CV POP STOCK SETTEMBRE
Zancauto FCA Official,Fiat 500,IT,37040 Zimella - Verona - VR,34aac6bf-5de7-4f5b-beb1-2b36cc0b2267,"€ 14.750,- 12",12,14750,https://www.autoscout24.it/annunci/fiat-500-s7-1-2-gpl-69-cv-star-stock-settembre-gpl-rosso-34aac6bf-5de7-4f5b-beb1-2b36cc0b2267?cldtidx=4&cldtsrc=listPage,S7 1.2 GPL 69 CV STAR STOCK SETTEMBRE
Ongarato Motors Srl,Dodge RAM,IT,30035 Mirano - Venezia - Ve,5b43d297-4a00-4a93-bae1-c14d0e397b13,"€ 49.900,- 2",2,49900,https://www.autoscout24.it/annunci/dodge-ram-ram-1500-5-7-hemi-classic-black-line-iva-compresa-gpl-nero-5b43d297-4a00-4a93-bae1-c14d0e397b13?cldtidx=5&cldtsrc=listPage,RAM 1500 5.7 HEMI CLASSIC Black Line IVA COMPRESA
Viola Auto Solutions srl,Kia Rio,IT,20123 Cormano - Milano - MI,77169616-bc47-4763-834d-cce637d61ee0,"€ 15.900,- 12",12,15900,https://www.autoscout24.it/annunci/kia-rio-1-2-mpi-gpl-evolution-nuovo-pronta-tasso-zero-gpl-blu-azzurro-77169616-bc47-4763-834d-cce637d61ee0?cldtidx=6&cldtsrc=listPage,1.2 MPi GPL Evolution NUOVO PRONTA*TASSO ZERO*
Autoriparazioni Fratelli Simonetta Srl,Fiat 500,IT,21020 Cadrezzate - Varese - Va,a9a981b7-9b07-4bd1-8743-bff669bb50c9,"€ 17.200,- 12",12,17200,https://www.autoscout24.it/annunci/fiat-500-1-2-easypower-star-nuova-gpl-grigio-a9a981b7-9b07-4bd1-8743-bff669bb50c9?cldtidx=7&cldtsrc=listPage,1.2 EasyPower Star - NUOVA
Ardioli Cars Srl,Fiat 500,IT,42016 Guastalla - Reggio Emilia - Re,00b4fb58-749c-44a0-99ec-974016efccb3,"€ 11.900,- 12",12,11900,https://www.autoscout24.it/annunci/fiat-500-1-2-lounge-gpl-gpl-bianco-00b4fb58-749c-44a0-99ec-974016efccb3?cldtidx=8&cldtsrc=listPage,1.2 Lounge GPL
Centroauto R.M. Sas,Ford Fiesta,IT,28066 Galliate - Novara - No,4c178fcd-72c7-477a-ae6a-82c8995ea413,"€ 15.750,- 2",2,15750,https://www.autoscout24.it/annunci/ford-fiesta-1-1-75cv-titanium-gpl-gpl-rosso-4c178fcd-72c7-477a-ae6a-82c8995ea413?cldtidx=9&cldtsrc=listPage,1.1 75CV Titanium GPL
Centroauto R.M. Sas,Ford Fiesta,IT,28066 Galliate - Novara - No,f7b541fa-b842-4ea1-8f47-53f2c892728d,"€ 14.150,- 2",2,14150,https://www.autoscout24.it/annunci/ford-fiesta-1-1-75cv-connected-gpl-gpl-rosso-f7b541fa-b842-4ea1-8f47-53f2c892728d?cldtidx=10&cldtsrc=listPage,1.1 75CV Connected GPL
De Bona Motors Padova,Kia Sportage,IT,35127 Padova - Pd,71b5e1bf-af78-40dc-8d3e-d61f4466b8da,"€ 23.650,- 12",12,23650,https://www.autoscout24.it/annunci/kia-sportage-1-6-ecogpl-business-class-2wd-126cv-gpl-nero-71b5e1bf-af78-40dc-8d3e-d61f4466b8da?cldtidx=1&cldtsrc=listPage,1.6 ecogpl Business Class 2wd 126cv
Manelli Spa,Dacia Duster,IT,25123 Brescia - Bs,69c5b707-d4c4-4651-808a-d81dba78da00,"€ 18.150,- 12",12,18150,https://www.autoscout24.it/annunci/dacia-duster-prestige-1-0-tce-100-cv-eco-g-4x2-rif-1322-gpl-marrone-69c5b707-d4c4-4651-808a-d81dba78da00?cldtidx=2&cldtsrc=listPage,Prestige 1.0 TCe 100 CV ECO-G 4x2 rif.1322
Manelli Spa,Dacia Duster,IT,25123 Brescia - Bs,e6cf1005-158d-4f51-ad9f-8722abad21a7,"€ 18.150,- 12",12,18150,https://www.autoscout24.it/annunci/dacia-duster-prestige-1-0-tce-100-cv-eco-g-4x2-rif-1330-gpl-arancione-e6cf1005-158d-4f51-ad9f-8722abad21a7?cldtidx=3&cldtsrc=listPage,Prestige 1.0 TCe 100 CV ECO-G 4x2 rif.1330
Manelli Spa,Dacia Duster,IT,25123 Brescia - Bs,fbbc0f17-5f11-430f-ac83-65c86ac0b9d4,"€ 18.150,- 12",12,18150,https://www.autoscout24.it/annunci/dacia-duster-prestige-1-0-tce-100-cv-eco-g-4x2-rif-1329-gpl-arancione-fbbc0f17-5f11-430f-ac83-65c86ac0b9d4?cldtidx=4&cldtsrc=listPage,Prestige 1.0 TCe 100 CV ECO-G 4x2 rif.1329
Manelli Spa,Dacia Duster,IT,25123 Brescia - Bs,83508f32-4e59-4dcd-ab23-549d80c1ceeb,"€ 17.899,- 12",12,17899,https://www.autoscout24.it/annunci/dacia-duster-15th-anniversary-1-0-tce-110-cv-eco-g-4x2-rif-4041-gpl-rosso-83508f32-4e59-4dcd-ab23-549d80c1ceeb?cldtidx=5&cldtsrc=listPage,15th Anniversary 1.0 TCe 110 CV ECO-G 4x2 rif.4041
Manelli Spa,Dacia Duster,IT,25123 Brescia - Bs,639500a1-c25c-48a4-9969-7b642a8bad88,"€ 17.999,- 12",12,17999,https://www.autoscout24.it/annunci/dacia-duster-nuovo-15th-anniversary-4x2-1-0-tce-100cv-gpl-rif-4-gpl-grigio-639500a1-c25c-48a4-9969-7b642a8bad88?cldtidx=6&cldtsrc=listPage,NUOVO 15th Anniversary 4X2 1.0 TCe 100cv GPL rif.4
Automultibrand srl,SsangYong Korando,IT,30171 Venezia VE,c256e285-82ba-48e8-acca-75e3244d8370,"€ 22.850,- 12",12,22850,https://www.autoscout24.it/annunci/ssangyong-korando-1-5-gdi-turbo-2wd-road-gpl-blu-azzurro-c256e285-82ba-48e8-acca-75e3244d8370?cldtidx=7&cldtsrc=listPage,1.5 GDI-Turbo 2WD Road
Manelli Spa,Dacia Duster,IT,25123 Brescia - Bs,9bc79116-5ac1-49b5-8a14-e05c6e30f774,"€ 17.299,- 12",12,17299,https://www.autoscout24.it/annunci/dacia-duster-prestige-1-0-tce-100-cv-eco-g-4x2-rif-9963-gpl-nero-9bc79116-5ac1-49b5-8a14-e05c6e30f774?cldtidx=8&cldtsrc=listPage,Prestige 1.0 TCe 100 CV ECO-G 4x2 rif.9963
Guidi Car Srl,Kia Stonic,IT,51017 Montecatini Terme - Pistoia - Pt,5e2f48a0-c0b6-4fa6-8aee-084bb1d47cd2,"€ 17.470,- 12",12,17470,https://www.autoscout24.it/annunci/kia-stonic-stonic-6d-1-4-gpl-style-conver-gpl-gpl-grigio-5e2f48a0-c0b6-4fa6-8aee-084bb1d47cd2?cldtidx=9&cldtsrc=listPage,STONIC 6D 1.4 GPL STYLE * Conver. GPL
Ren Car Spa,Dacia Duster,IT,46043 Castiglione Delle Stiviere - Mantova - Mn,7bd28321-5e93-4333-b044-d0c434fb18a2,"€ 13.960,- 2",2,13960,https://www.autoscout24.it/annunci/dacia-duster-1-0-tce-100-cv-eco-g-4x2-comfort-gpl-bianco-7bd28321-5e93-4333-b044-d0c434fb18a2?cldtidx=10&cldtsrc=listPage,1.0 TCe 100 CV ECO-G 4x2 Comfort
Ren Car Spa,Renault Captur,Gelmini Antonio,IT,aa50c182-b64d-4fb0-9a5d-887a1c2739ff,"€ 12.950,- 2",2,12950,https://www.autoscout24.it/annunci/renault-captur-tce-12v-100-cv-gpl-life-gpl-blu-azzurro-aa50c182-b64d-4fb0-9a5d-887a1c2739ff?cldtidx=11&cldtsrc=listPage,TCe 12V 100 CV GPL Life
Guidi Car Srl,Kia Sportage,IT,51017 Montecatini Terme - Pistoia - Pt,50c0f499-05e0-4313-8c1c-4db879cdbf3f,"€ 23.860,- 12",12,23860,https://www.autoscout24.it/annunci/kia-sportage-ql-s-new-ql-6d-1-6-gpl-bss-ac-conver-gpl-gpl-blu-azzurro-50c0f499-05e0-4313-8c1c-4db879cdbf3f?cldtidx=12&cldtsrc=listPage,QL(S) New QL 6D 1.6 GPL BSS AC * Conver. GPL
Guidi Car Srl,Kia Stonic,IT,51017 Montecatini Terme - Pistoia - Pt,b5c48bf9-01ff-49df-acd5-a9690beb0da0,"€ 17.190,- 12",12,17190,https://www.autoscout24.it/annunci/kia-stonic-stonic-6d-1-4-gpl-style-conver-gpl-gpl-bianco-b5c48bf9-01ff-49df-acd5-a9690beb0da0?cldtidx=13&cldtsrc=listPage,STONIC 6D 1.4 GPL STYLE * Conver. GPL
G & G Paglini Spa,Dacia Duster,IT,21053 Castellanza,52429956-97ed-4741-a299-5786a27c1252,"€ 18.400,- 12",12,18400,https://www.autoscout24.it/annunci/dacia-duster-15th-anniversary-4x2-1-0-tce-100cv-gpl-gpl-bianco-52429956-97ed-4741-a299-5786a27c1252?cldtidx=14&cldtsrc=listPage,15th Anniversary 4X2 1.0 TCe 100cv GPL
Autogrifone Srl,Kia XCeed,IT,41126 Modena,672f70cf-260c-40b2-b1b9-67789a2e7f21,"€ 21.100,- 12",12,21100,https://www.autoscout24.it/annunci/kia-xceed-1-0-tgdi-urban-ecogpl-gpl-argento-672f70cf-260c-40b2-b1b9-67789a2e7f21?cldtidx=15&cldtsrc=listPage,1.0 TGDi Urban ECOGPL
Dielle Auto srl,Renault Captur,IT,10071 Borgaro Torinese-To,ee138484-92c4-4f2c-9394-a9fbf4d3e4b0,"€ 17.800,- 12",12,17800,https://www.autoscout24.it/annunci/renault-captur-nuovo-tce-12v-100-cv-gpl-zen-gpl-rosso-ee138484-92c4-4f2c-9394-a9fbf4d3e4b0?cldtidx=16&cldtsrc=listPage,Nuovo TCe 12V 100 CV GPL Zen
Auto Azzurra Store Srl,DR Motor DR F35,IT,46029 Suzzara - Mantova - Mn,653a6844-e506-4d96-8ea0-a7cc23477ab7,"€ 26.900,- 12",12,26900,https://www.autoscout24.it/annunci/dr-motor-dr-f35-1-5-turbo-c-a-bi-fuel-gpl-garanzia-5-anni-100-gpl-bianco-653a6844-e506-4d96-8ea0-a7cc23477ab7?cldtidx=17&cldtsrc=listPage,1.5 Turbo c.a. Bi-Fuel GPL *GARANZIA 5 ANNI/100
Auto Azzurra Store Srl,DR Motor DR F35,IT,46029 Suzzara - Mantova - Mn,fb11395f-6078-4cc2-ac5b-c33578f7b314,"€ 24.900,- 12",12,24900,https://www.autoscout24.it/annunci/dr-motor-dr-f35-1-5-turbo-bi-fuel-gpl-garanzia-5-anni-100-000km-gpl-bianco-fb11395f-6078-4cc2-ac5b-c33578f7b314?cldtidx=18&cldtsrc=listPage,1.5 Turbo Bi-Fuel GPL *GARANZIA 5 ANNI/100.000KM*
Dielle Auto srl,Dacia Duster,IT,10071 Borgaro Torinese-To,bcfe65ae-16a8-4340-b4a8-49c0e0938a8a,"€ 16.300,- 12",12,16300,https://www.autoscout24.it/annunci/dacia-duster-1-0-tce-100-cv-gpl-4x2-prestige-gpl-grigio-bcfe65ae-16a8-4340-b4a8-49c0e0938a8a?cldtidx=19&cldtsrc=listPage,1.0 TCe 100 CV GPL 4x2 Prestige
Dielle Auto srl,Dacia Duster,IT,10071 Borgaro Torinese-To,edfd6ef1-3811-4324-bb64-854f12787a18,"€ 15.700,- 12",12,15700,https://www.autoscout24.it/annunci/dacia-duster-1-0-tce-100-cv-gpl-4x2-comfort-gpl-arancione-edfd6ef1-3811-4324-bb64-854f12787a18?cldtidx=20&cldtsrc=listPage,1.0 TCe 100 CV GPL 4x2 Comfort
Autoservice srls,Kia Sportage,IT,10142 Torino,93a4d6ed-0838-4a68-adab-5102200fd37a,"€ 24.000,- 1",1,24000,https://www.autoscout24.it/annunci/kia-sportage-1-6-ecogpl-126cv-2wd-energy-nuova-pronta-consegna-gpl-grigio-93a4d6ed-0838-4a68-adab-5102200fd37a?cldtidx=1&cldtsrc=listPage,1.6 ECOGPL 126CV 2WD Energy NUOVA PRONTA CONSEGNA
Elis Car Srl,SsangYong Korando,IT,37060 Sona - Verona - Vr,778fdf86-6b90-429d-a464-c7967e74490a,"€ 26.400,- 1",1,26400,https://www.autoscout24.it/annunci/ssangyong-korando-1-5-gdi-turbo-2wd-icon-gpl-gpl-blu-azzurro-778fdf86-6b90-429d-a464-c7967e74490a?cldtidx=2&cldtsrc=listPage,1.5 GDI-Turbo 2WD Icon *GPL*
Marinelli Motor by Mbl Motors,Kia Stonic,IT,45026 Lendinara - Rovigo,566ea9b5-cf38-44e0-8d1e-862c6f8dcc21,"€ 15.999,- 41",41,15999,https://www.autoscout24.it/annunci/kia-stonic-kia-1-4-mpi-100cv-eco-gpl-pronta-consegna-gpl-bronzo-566ea9b5-cf38-44e0-8d1e-862c6f8dcc21?cldtidx=3&cldtsrc=listPage,Kia 1.4 MPI 100cv ECO GPL PRONTA CONSEGNA
Pelloni Auto Spa,Great Wall Steed,IT,41122 Modena - Mo,007b75fd-9dbc-469b-9214-2a657de54898,"€ 15.640,- 41",41,15640,https://www.autoscout24.it/annunci/great-wall-steed-2-4-ecodual-benz-gpl-4wd-versione-work-gpl-grigio-007b75fd-9dbc-469b-9214-2a657de54898?cldtidx=4&cldtsrc=listPage,2.4 Ecodual BENZ/GPL 4WD VERSIONE WORK
Pelloni Auto Spa,Great Wall Steed,IT,41122 Modena - Mo,5b765d01-ce42-409e-9474-3f98adffbd5a,"€ 15.640,- 41",41,15640,https://www.autoscout24.it/annunci/great-wall-steed-2-4-ecodual-benz-gpl-4wd-versione-work-gpl-grigio-5b765d01-ce42-409e-9474-3f98adffbd5a?cldtidx=5&cldtsrc=listPage,2.4 Ecodual BENZ/GPL 4WD VERSIONE WORK
Pelloni Auto Spa,Great Wall Steed,IT,41122 Modena - Mo,db2d4f5c-23f5-416b-bd65-51fed0086b98,"€ 15.640,- 41",41,15640,https://www.autoscout24.it/annunci/great-wall-steed-2-4-ecodual-benz-gpl-4wd-versione-work-gpl-grigio-db2d4f5c-23f5-416b-bd65-51fed0086b98?cldtidx=6&cldtsrc=listPage,2.4 Ecodual BENZ/GPL 4WD VERSIONE WORK
Garage 33 Srls,Mitsubishi ASX,IT,20812 Limbiate - Monza Brianza - MB,89ede37b-b3b0-41ca-ad65-8344c232f48c,"€ 19.900,- 41",41,19900,https://www.autoscout24.it/annunci/mitsubishi-asx-2-0-2wd-gpl-bi-fuel-invite-sda-gpl-bianco-89ede37b-b3b0-41ca-ad65-8344c232f48c?cldtidx=7&cldtsrc=listPage,2.0 2WD GPL Bi-fuel Invite SDA
Giacobbe Automobili srl,Renault Captur,Carlotta Giacobbe,IT,05aa383e-5d62-45dc-bf51-9a22992acf8b,"€ 15.950,- 1",1,15950,https://www.autoscout24.it/annunci/renault-captur-tce-100cv-gpl-life-prenotala-con--100-gpl-grigio-05aa383e-5d62-45dc-bf51-9a22992acf8b?cldtidx=8&cldtsrc=listPage,TCe 100CV GPL Life *PRENOTALA CON € 100*
Auto Azzurra Store Srl,DR Motor DR F35,IT,46029 Suzzara - Mantova - Mn,9faf046b-fd66-48f1-8632-552098821cfd,"€ 26.900,- 41",41,26900,https://www.autoscout24.it/annunci/dr-motor-dr-f35-1-5-turbo-c-a-bi-fuel-gpl-garanzia-5-anni-100-gpl-nero-9faf046b-fd66-48f1-8632-552098821cfd?cldtidx=9&cldtsrc=listPage,1.5 Turbo c.a. Bi-Fuel GPL *GARANZIA 5 ANNI/100
Auto Azzurra Store Srl,DR Motor DR F35,IT,46029 Suzzara - Mantova - Mn,cfd053f0-e63b-499a-9e25-57fd57ad36a8,"€ 24.900,- 41",41,24900,https://www.autoscout24.it/annunci/dr-motor-dr-f35-1-5-turbo-bi-fuel-gpl-garanzia-5-anni-100-000km-gpl-nero-cfd053f0-e63b-499a-9e25-57fd57ad36a8?cldtidx=10&cldtsrc=listPage,1.5 Turbo Bi-Fuel GPL *GARANZIA 5 ANNI/100.000KM*
VAR srl,Others,IT,12081 Beinette - Cuneo,ea097843-0c7a-4153-ab7b-3f32f01eb801,"€ 15.900,- 41",41,15900,https://www.autoscout24.it/annunci/1-6-16v-126-cv-bi-fuel-new-model-gpl-argento-ea097843-0c7a-4153-ab7b-3f32f01eb801?cldtidx=11&cldtsrc=listPage,1.6 16V 126 CV BI-FUEL NEW MODEL
