seller,vehicle,country,address,id_annuncio,asking_price,conditional_on_price,price,link_annuncio,vehicle_user_desc
Ellegi Auto di Brusasco Davide,Fiat 500,IT,14034 Castello di Annone - Asti - At,c08aa109-11cc-409c-b086-ba838d4aa0bf,"€ 10.980,- 12",12,10980,https://www.autoscout24.it/annunci/fiat-500-1-2-lounge-tetto-vetro-km-0-benzina-grigio-c08aa109-11cc-409c-b086-ba838d4aa0bf?cldtidx=1&cldtsrc=listPage,1.2 Lounge + TETTO VETRO KM 0
Ellegi Auto di Brusasco Davide,Abarth 595,IT,14034 Castello di Annone - Asti - At,bd4a1516-4f48-4ab9-98d9-ef647fc3e2b0,"€ 16.980,- 12",12,16980,https://www.autoscout24.it/annunci/abarth-595-1-4-turbo-t-jet-145-cv-km-0-benzina-blu-azzurro-bd4a1516-4f48-4ab9-98d9-ef647fc3e2b0?cldtidx=2&cldtsrc=listPage,1.4 Turbo T-Jet 145 CV KM 0
Ellegi Auto di Brusasco Davide,Fiat 500,IT,14034 Castello di Annone - Asti - At,bfe3f83f-c9d5-4379-b629-ec3fa401e74d,"€ 10.980,- 12",12,10980,https://www.autoscout24.it/annunci/fiat-500-1-2-lounge-tetto-vetro-km-0-benzina-grigio-bfe3f83f-c9d5-4379-b629-ec3fa401e74d?cldtidx=3&cldtsrc=listPage,1.2 Lounge + TETTO VETRO KM 0
Ellegi Auto di Brusasco Davide,Fiat 500,IT,14034 Castello di Annone - Asti - At,81edfd38-d14e-4a24-9b58-1448439d772e,"€ 12.980,- 12",12,12980,https://www.autoscout24.it/annunci/fiat-500-1-2-star-km-0-benzina-rosso-81edfd38-d14e-4a24-9b58-1448439d772e?cldtidx=4&cldtsrc=listPage,1.2 Star KM 0
Ellegi Auto di Brusasco Davide,Fiat 500,IT,14034 Castello di Annone - Asti - At,9ce75725-06cb-4266-a6af-b6fa7dc785e9,"€ 12.980,- 12",12,12980,https://www.autoscout24.it/annunci/fiat-500-1-2-star-km-0-benzina-rosso-9ce75725-06cb-4266-a6af-b6fa7dc785e9?cldtidx=5&cldtsrc=listPage,1.2 Star KM 0
Ellegi Auto di Brusasco Davide,Fiat 500,IT,14034 Castello di Annone - Asti - At,8b73f65d-4e04-480e-949c-64baccff7b4e,"€ 12.980,- 12",12,12980,https://www.autoscout24.it/annunci/fiat-500-1-2-star-km-0-benzina-rosso-8b73f65d-4e04-480e-949c-64baccff7b4e?cldtidx=6&cldtsrc=listPage,1.2 Star KM 0
Ellegi Auto di Brusasco Davide,Fiat 500,IT,14034 Castello di Annone - Asti - At,4529d5d7-cc24-427f-af0e-d20bb4140ba2,"€ 11.190,- 12",12,11190,https://www.autoscout24.it/annunci/fiat-500-1-2-lounge-km-0-benzina-blu-azzurro-4529d5d7-cc24-427f-af0e-d20bb4140ba2?cldtidx=7&cldtsrc=listPage,1.2 Lounge KM 0
Ellegi Auto di Brusasco Davide,Fiat 500,IT,14034 Castello di Annone - Asti - At,ca74a6d6-cb0c-4c7b-93cf-ecd9db182293,"€ 11.190,- 12",12,11190,https://www.autoscout24.it/annunci/fiat-500-1-2-lounge-km-0-benzina-grigio-ca74a6d6-cb0c-4c7b-93cf-ecd9db182293?cldtidx=8&cldtsrc=listPage,1.2 Lounge KM 0
Ellegi Auto di Brusasco Davide,Fiat 500,IT,14034 Castello di Annone - Asti - At,42c6238e-79f1-43f0-95a6-91ddeb82c9dd,"€ 12.490,- 12",12,12490,https://www.autoscout24.it/annunci/fiat-500-1-2-dualogic-lounge-km-0-benzina-grigio-42c6238e-79f1-43f0-95a6-91ddeb82c9dd?cldtidx=9&cldtsrc=listPage,1.2 Dualogic Lounge KM 0
Ellegi Auto di Brusasco Davide,Fiat 500,IT,14034 Castello di Annone - Asti - At,93168c4f-51b7-44c1-a703-fa4c6238fed6,"€ 11.190,- 12",12,11190,https://www.autoscout24.it/annunci/fiat-500-1-2-lounge-km-0-benzina-grigio-93168c4f-51b7-44c1-a703-fa4c6238fed6?cldtidx=10&cldtsrc=listPage,1.2 Lounge KM 0
Ellegi Auto di Brusasco Davide,Fiat 500,IT,14034 Castello di Annone - Asti - At,38c57868-8502-455f-bd56-7c6f05b3b4ab,"€ 11.190,- 12",12,11190,https://www.autoscout24.it/annunci/fiat-500-1-2-lounge-serie-7-km-0-benzina-grigio-38c57868-8502-455f-bd56-7c6f05b3b4ab?cldtidx=11&cldtsrc=listPage,1.2 Lounge SERIE 7 KM 0
Ellegi Auto di Brusasco Davide,Fiat 500,IT,14034 Castello di Annone - Asti - At,89e515dd-dac0-47ca-bda9-5a7828ece07f,"€ 11.190,- 12",12,11190,https://www.autoscout24.it/annunci/fiat-500-1-2-lounge-serie-7-km-0-benzina-grigio-89e515dd-dac0-47ca-bda9-5a7828ece07f?cldtidx=12&cldtsrc=listPage,1.2 Lounge SERIE 7 KM 0
Ellegi Auto di Brusasco Davide,Fiat 500,IT,14034 Castello di Annone - Asti - At,668a9ef6-483d-4308-8223-38aa8343984f,"€ 12.490,- 12",12,12490,https://www.autoscout24.it/annunci/fiat-500-1-2-dualogic-lounge-km-0-benzina-grigio-668a9ef6-483d-4308-8223-38aa8343984f?cldtidx=13&cldtsrc=listPage,1.2 Dualogic Lounge KM 0
Ellegi Auto di Brusasco Davide,Fiat 500,IT,14034 Castello di Annone - Asti - At,feeafdcc-0658-4bf4-a2a7-31c3f12239c0,"€ 12.980,- 12",12,12980,https://www.autoscout24.it/annunci/fiat-500-1-2-rockstar-km-0-benzina-grigio-feeafdcc-0658-4bf4-a2a7-31c3f12239c0?cldtidx=14&cldtsrc=listPage,1.2 Rockstar KM 0
Ellegi Auto di Brusasco Davide,Abarth 595,IT,14034 Castello di Annone - Asti - At,7a096126-b86f-4627-a732-244c7484123e,"€ 16.980,- 12",12,16980,https://www.autoscout24.it/annunci/abarth-595-1-4-turbo-t-jet-145-cv-km-0-benzina-blu-azzurro-7a096126-b86f-4627-a732-244c7484123e?cldtidx=15&cldtsrc=listPage,1.4 Turbo T-Jet 145 CV KM 0
Ellegi Auto di Brusasco Davide,Fiat 500,IT,14034 Castello di Annone - Asti - At,d71a486e-10dc-43f8-86f1-bf0eb76233ca,"€ 11.190,- 12",12,11190,https://www.autoscout24.it/annunci/fiat-500-1-2-lounge-km-0-benzina-blu-azzurro-d71a486e-10dc-43f8-86f1-bf0eb76233ca?cldtidx=16&cldtsrc=listPage,1.2 Lounge KM 0
Ellegi Auto di Brusasco Davide,Fiat 500,IT,14034 Castello di Annone - Asti - At,1fd296cf-1a04-441d-9af2-e8430fb3d2bb,"€ 11.190,- 12",12,11190,https://www.autoscout24.it/annunci/fiat-500-1-2-lounge-km-0-benzina-blu-azzurro-1fd296cf-1a04-441d-9af2-e8430fb3d2bb?cldtidx=17&cldtsrc=listPage,1.2 Lounge KM 0
Ellegi Auto di Brusasco Davide,Fiat 500,IT,14034 Castello di Annone - Asti - At,dc50519d-70e7-423b-a631-a74c80ed6c7c,"€ 10.980,- 12",12,10980,https://www.autoscout24.it/annunci/fiat-500-1-2-lounge-serie-7-km-0-benzina-grigio-dc50519d-70e7-423b-a631-a74c80ed6c7c?cldtidx=18&cldtsrc=listPage,1.2 Lounge SERIE 7 KM 0
Ellegi Auto di Brusasco Davide,Fiat 500,IT,14034 Castello di Annone - Asti - At,113b2fb5-ae01-45c9-9cdf-161a6dc0600d,"€ 11.190,- 12",12,11190,https://www.autoscout24.it/annunci/fiat-500-1-2-lounge-km-0-benzina-blu-azzurro-113b2fb5-ae01-45c9-9cdf-161a6dc0600d?cldtidx=19&cldtsrc=listPage,1.2 Lounge KM 0
Ellegi Auto di Brusasco Davide,Fiat 500,IT,14034 Castello di Annone - Asti - At,90e5c896-1d35-414d-8149-ce26548b39ca,"€ 10.980,- 12",12,10980,https://www.autoscout24.it/annunci/fiat-500-1-2-lounge-serie-7-km-0-benzina-grigio-90e5c896-1d35-414d-8149-ce26548b39ca?cldtidx=20&cldtsrc=listPage,1.2 Lounge SERIE 7 KM 0
