seller,vehicle,country,address,id_annuncio,asking_price,conditional_on_price,price,link_annuncio,vehicle_user_desc
Locauto Due Srl,Peugeot 208,IT,10064 Roletto - Torino,bd9d22e1-5abf-4599-b50c-0735752f2a75,"€ 12.190,- 12",12,12190,https://www.autoscout24.it/annunci/peugeot-208-bluehdi-100-s-s-5-porte-active-diesel-bianco-bd9d22e1-5abf-4599-b50c-0735752f2a75?cldtidx=1&cldtsrc=listPage,BlueHDi 100 S&S 5 porte Active
Locauto Due Srl,Peugeot 208,IT,10151 Torino - To,fdd295f1-d4b5-4085-8b99-1612930299b4,"€ 19.490,- 12",12,19490,https://www.autoscout24.it/annunci/peugeot-208-bluehdi-100-stop-start-5-porte-allure-diesel-bianco-fdd295f1-d4b5-4085-8b99-1612930299b4?cldtidx=2&cldtsrc=listPage,BlueHDi 100 Stop&Start 5 porte Allure
Locauto Due Srl,Peugeot 208,IT,10151 Torino - To,efa31af6-9db2-4b25-a5cb-9fecb8e4a249,"€ 19.490,- 12",12,19490,https://www.autoscout24.it/annunci/peugeot-208-bluehdi-100-stop-start-5-porte-allure-diesel-grigio-efa31af6-9db2-4b25-a5cb-9fecb8e4a249?cldtidx=3&cldtsrc=listPage,BlueHDi 100 Stop&Start 5 porte Allure
Ratti non Solo Auto srl,Opel Corsa,Michela,IT,6afde796-6772-415b-89d1-f9756ef81c90,"€ 15.355,- 12",12,15355,https://www.autoscout24.it/annunci/opel-corsa-2-serie-6-serie-1-5-100cv-edition-mt6-diesel-grigio-6afde796-6772-415b-89d1-f9756ef81c90?cldtidx=4&cldtsrc=listPage,2ª serie 6ª serie 1.5 100CV Edition MT6
Ratti non Solo Auto srl,Citroen C3,IT,23890 Barzago - Lecco - Lc,b41489df-4145-493b-8cdb-1e1e83092f66,"€ 15.119,- 12",12,15119,https://www.autoscout24.it/annunci/citroen-c3-3-serie-1-5-bluehdi-100cv-feel-diesel-grigio-b41489df-4145-493b-8cdb-1e1e83092f66?cldtidx=5&cldtsrc=listPage,3ª serie 1.5 BlueHDi 100CV Feel
Ratti non Solo Auto srl,Citroen C3,IT,23890 Barzago - Lecco - Lc,d75889d8-5690-4363-a672-baecbd4c1767,"€ 15.119,- 12",12,15119,https://www.autoscout24.it/annunci/citroen-c3-3-serie-bluehdi-1-5-100cv-s-s-feel-diesel-bianco-d75889d8-5690-4363-a672-baecbd4c1767?cldtidx=6&cldtsrc=listPage,3ª serie BlueHDi 1.5 100CV S&S Feel
Ratti non Solo Auto srl,Citroen C3,IT,23890 Barzago - Lecco - Lc,e1ad47b6-a43c-401b-a713-7407c6fdc506,"€ 15.119,- 12",12,15119,https://www.autoscout24.it/annunci/citroen-c3-3-serie-1-5-bluehdi-100cv-s-s-feel-diesel-bianco-e1ad47b6-a43c-401b-a713-7407c6fdc506?cldtidx=7&cldtsrc=listPage,3ª serie 1.5 BlueHDi 100CV S&S Feel
Locauto Due Srl,Peugeot 208,IT,10151 Torino - To,c5a5a5ab-4bec-4cda-a3c8-1cd0b28b75a7,"€ 12.190,- 12",12,12190,https://www.autoscout24.it/annunci/peugeot-208-bluehdi-100-s-s-5-porte-active-diesel-nero-c5a5a5ab-4bec-4cda-a3c8-1cd0b28b75a7?cldtidx=8&cldtsrc=listPage,BlueHDi 100 S&S 5 porte Active
Locauto Due Srl,Peugeot 208,IT,10151 Torino - To,2d4a2638-718e-4d67-a791-53e0c5767819,"€ 12.190,- 12",12,12190,https://www.autoscout24.it/annunci/peugeot-208-bluehdi-100-s-s-5-porte-active-diesel-bianco-2d4a2638-718e-4d67-a791-53e0c5767819?cldtidx=9&cldtsrc=listPage,BlueHDi 100 S&S 5 porte Active
Bellù Gastone,Aixam City,IT,22070 Cassina Rizzardi - Como - Co,7441ef95-8d9b-4d46-94e0-63a7d9387d58,"€ 12.250,- 2",2,12250,https://www.autoscout24.it/annunci/aixam-city-premium-sensation-diesel-blu-azzurro-7441ef95-8d9b-4d46-94e0-63a7d9387d58?cldtidx=10&cldtsrc=listPage,Premium Sensation
