,Carrozzeria,id_annuncio,Alimentazione,Tipo di veicolo,Anno,Marca,Modello,Porte,Posti a sedere,Tipo di cambio,Tipo di unita,Colore esterno,Emissioni di CO2,Rivestimenti,Colore originale,Tipo di vernice,Marce,Peso a vuoto,Usato Garantito,Per neopatentati,Proprietari,Cilindrata,Classe emissioni,Cilindri,Veicolo per non fumatori,Consumo carburante,Tagliandi certificati,seller,vehicle,country,address,conditional_on_price,price,link_annuncio,vehicle_user_desc,median,discount,variazione_su_mediana,equal_or_lower
0,City car,c9ae6082-50f8-4f5f-8ea2-368d751d9260,Elettrica,KM0,2020.0,BMW,i3,5.0,4.0,Automatico,posteriore,Nero,0 g CO2/km (comb.),"Altro, Altro",FLUID BLACK CON ACCENTI IN BME,Base,,,,,,,,,,,,Mobility.it - Km 0 - Gruppo Lario,BMW i3,IT,20125 Milano - Mi,2,36500,https://www.autoscout24.it/annunci/bmw-i3-i3-120-ah-advantage-8p21-elettrica-nero-c9ae6082-50f8-4f5f-8ea2-368d751d9260?cldtidx=2&cldtsrc=listPage,I3 120 AH ADVANTAGE (8P21),46500.0,10000.0,8750.0,1
1,City car,67c419c2-2721-4812-9ca0-2ee809c6bf48,Elettrica,KM0,,BMW,i3,5.0,,Automatico,posteriore,Grigio,0 g CO2/km (comb.),"Stoffa, Nero",,,,,SÃƒÂ¬,,,,,,,,SÃƒÂ¬,NANNI NEMBER SRL,BMW i3,IT,25126 Brescia - Bs,2,39900,https://www.autoscout24.it/annunci/bmw-i3-s-120ah-elettrica-grigio-67c419c2-2721-4812-9ca0-2ee809c6bf48?cldtidx=5&cldtsrc=listPage,s 120Ah,46500.0,6600.0,5350.0,1
2,Berlina,9038d6d4-3d31-4b67-a763-51985b4b5d22,Elettrica,KM0,2020.0,BMW,i3,5.0,4.0,Automatico,posteriore,Grigio,0 g CO2/km (comb.),"Stoffa, Nero",mineral grau,,1.0,1320.0,SÃƒÂ¬,,1.0,,,,,,,AUTOTORINO SPA,BMW i3,IT,26013 Crema - Cr,12,29100,https://www.autoscout24.it/annunci/bmw-i3-120-ah-elettrica-grigio-9038d6d4-3d31-4b67-a763-51985b4b5d22?cldtidx=20&cldtsrc=listPage,120 Ah,46500.0,17400.0,16150.0,1
3,Berlina,6771176c-dca0-4e1f-8bd7-9f80974101de,Elettrica,KM0,2019.0,BMW,i3,5.0,4.0,Automatico,posteriore,Nero,0 g CO2/km (comb.),"Stoffa, Nero",Nero,,1.0,,,,1.0,,,,,,,AUTOVANTI MONZA,BMW i3,IT,20900 Monza - Monza Brianza - Mb,12,38200,https://www.autoscout24.it/annunci/bmw-i3-i01-120-ah-elettrica-nero-6771176c-dca0-4e1f-8bd7-9f80974101de?cldtidx=8&cldtsrc=listPage,(I01) 120 Ah,46500.0,8300.0,7050.0,1
4,Berlina,1eeff3c0-573b-4eff-9c56-f2e31a1437ed,Elettrica,KM0,2019.0,BMW,i3,5.0,4.0,Automatico,posteriore,Blu/Azzurro,0 g CO2/km (comb.),"Stoffa, Grigio",Blu,,1.0,,,,1.0,,,,,,,AUTOVANTI MONZA,BMW i3,IT,20900 Monza - Monza Brianza - Mb,12,34900,https://www.autoscout24.it/annunci/bmw-i3-i01-120-ah-elettrica-blu-azzurro-1eeff3c0-573b-4eff-9c56-f2e31a1437ed?cldtidx=8&cldtsrc=listPage,(I01) 120 Ah,46500.0,11600.0,10350.0,1
5,City car,e24b2217-d986-4aca-8f2d-4d7399a11b60,Elettrica,KM0,2011.0,Mitsubishi,I-MiEV,5.0,4.0,Automatico,posteriore,Bianco,0 g CO2/km (comb.),"Stoffa, Altro",SUMMIT WHITE (P),Base,,,,,,,,,,,,Sinauto Srl,Mitsubishi I-MiEV,IT,25080 Molinetto Di Mazzano - Brescia - Bs,2,14800,https://www.autoscout24.it/annunci/mitsubishi-i-miev-i-miev-navy-elettrica-bianco-e24b2217-d986-4aca-8f2d-4d7399a11b60?cldtidx=4&cldtsrc=listPage,I-MIEV NAVY,24250.0,9450.0,8200.0,1
6,Berlina,90082be5-d9cd-4ef2-9028-ea6470d8b6f4,Elettrica,KM0,2020.0,Mitsubishi,I-MiEV,5.0,4.0,Automatico,posteriore,,0 g CO2/km (comb.),,,,5.0,,,,,,,,,,,Queencar srl Pianezza,Mitsubishi I-MiEV,IT,10044 Pianezza - Torino - To,2,22890,https://www.autoscout24.it/annunci/mitsubishi-i-miev-5p-elettrica-90082be5-d9cd-4ef2-9028-ea6470d8b6f4?cldtidx=2&cldtsrc=listPage,5p.,24250.0,1360.0,110.0,0
7,Berlina,cf1c9efd-1c3d-4103-b269-99c212efab31,Elettrica,KM0,2020.0,Mitsubishi,I-MiEV,5.0,4.0,Automatico,posteriore,,0 g CO2/km (comb.),,,,5.0,,,,,,,,,,,Queencar srl,Mitsubishi I-MiEV,IT,10022 Carmagnola - Torino,2,22890,https://www.autoscout24.it/annunci/mitsubishi-i-miev-5p-elettrica-cf1c9efd-1c3d-4103-b269-99c212efab31?cldtidx=3&cldtsrc=listPage,5p.,24250.0,1360.0,110.0,0
8,Berlina,0c059d15-f126-475d-a321-ec9a70324ece,Elettrica,KM0,2020.0,Mitsubishi,I-MiEV,5.0,4.0,Automatico,posteriore,,0 g CO2/km (comb.),,,,5.0,1100.0,,SÃƒÂ¬,,,,,,,,Queencar srl Torino,Mitsubishi I-MiEV,IT,10044 Torino - TO,2,22890,https://www.autoscout24.it/annunci/mitsubishi-i-miev-5p-elettrica-0c059d15-f126-475d-a321-ec9a70324ece?cldtidx=11&cldtsrc=listPage,5p.,24250.0,1360.0,110.0,0
9,Cabrio,3f221f34-c88e-4dd2-b083-c8bf972c4d76,Elettrica,KM0,2020.0,smart,forTwo,2.0,2.0,Automatico,posteriore,Argento,0 g CO2/km (comb.),"Stoffa, Nero",Bodypanel in cool silver,Metallizzato,,1115.0,24 mese,SÃƒÂ¬,,,,,,,,Bonera Spa,smart forTwo,IT,25135 Brescia - Bs,12,20999,https://www.autoscout24.it/annunci/smart-fortwo-cabrio-eq-passion-my19-elettrica-argento-3f221f34-c88e-4dd2-b083-c8bf972c4d76?cldtidx=1&cldtsrc=listPage,Cabrio eq Passion my19,22950.0,1951.0,701.0,0
