seller,vehicle,country,address,id_annuncio,asking_price,conditional_on_price,price,link_annuncio,vehicle_user_desc
Alfieri Auto Srl,Ligier JS 50,IT,50100 Calenzano - Firenze - Fi,92ee9cae-5fa5-48f0-8c86-322ab2b4604b,"€ 14.270,- 1",1,14270,https://www.autoscout24.it/annunci/ligier-js-50-dci-sport-ultimate-ice-clima-ligier-firenze-diesel-grigio-92ee9cae-5fa5-48f0-8c86-322ab2b4604b?cldtidx=1&cldtsrc=listPage,DCI Sport Ultimate Ice CLIMA - Ligier Firenze
Parisi 2000 Srl,Aixam GTI,Resp Vendite,IT,eb5bb848-f5de-419b-ba86-9ab42ac429c6,"€ 15.718,- 41",41,15718,https://www.autoscout24.it/annunci/aixam-gti-gti-emotion-diesel-grigio-eb5bb848-f5de-419b-ba86-9ab42ac429c6?cldtidx=2&cldtsrc=listPage,GTI Emotion
Arricar Srl,Chatenet CH 40,IT,24040 Verdellino - Bergamo - BG,27f89d53-0864-4e7b-910f-0b8c04a65d6b,"€ 14.990,- 1",1,14990,https://www.autoscout24.it/annunci/chatenet-ch-40-st-diesel-nero-27f89d53-0864-4e7b-910f-0b8c04a65d6b?cldtidx=3&cldtsrc=listPage,ST
NANNI NEMBER SRL,BMW 118,Andrea Pluda,IT,8c213438-4e2b-4f25-830b-ced16f2d4a26,"€ 39.500,- 1",1,39500,https://www.autoscout24.it/annunci/bmw-118-d-5-porte-msport-m-sport-diesel-nero-8c213438-4e2b-4f25-830b-ced16f2d4a26?cldtidx=4&cldtsrc=listPage,d 5 Porte MSport M Sport
Cityemotion di Defina Rayan,Aixam Crossline,IT,10131 Torino - TO,0ff829dc-04af-4c43-931f-074afb3faa6c,"€ 15.999,- 1",1,15999,https://www.autoscout24.it/annunci/aixam-crossline-emotion-premium-600-gt-diesel-nero-0ff829dc-04af-4c43-931f-074afb3faa6c?cldtidx=5&cldtsrc=listPage,Emotion Premium 600 GT
Classic Car Milano srl,Chatenet CH 46,IT,20127 Milano - MI,dd3cb138-8e1a-4301-ba92-a38385537605,"€ 15.500,- 1",1,15500,https://www.autoscout24.it/annunci/chatenet-ch-46-sport-erre-nuova-pronta-consegna-diesel-nero-dd3cb138-8e1a-4301-ba92-a38385537605?cldtidx=6&cldtsrc=listPage,Sport Erre NUOVA PRONTA CONSEGNA
NANNI NEMBER SRL,BMW 118,IT,25126 Brescia - Bs,b83fd760-aa83-4fee-a8c5-471df3381412,"€ 37.500,- 1",1,37500,https://www.autoscout24.it/annunci/bmw-118-d-5-porte-msport-m-sport-diesel-bianco-b83fd760-aa83-4fee-a8c5-471df3381412?cldtidx=7&cldtsrc=listPage,d 5 Porte MSPORT M Sport
Duegi Car Srl,Aixam City,IT,21100 Varese - Va,2e826f0c-d196-4050-a9ee-8caac087f912,"€ 14.399,- 1",1,14399,https://www.autoscout24.it/annunci/aixam-city-gto-emotion-diesel-bianco-2e826f0c-d196-4050-a9ee-8caac087f912?cldtidx=8&cldtsrc=listPage,GTO Emotion
Classic Car Milano srl,Chatenet CH 46,IT,20127 Milano - MI,fd50a475-f64a-4402-b692-91677404b647,"€ 13.900,- 1",1,13900,https://www.autoscout24.it/annunci/chatenet-ch-46-st-nuova-pronta-consegna-diesel-bianco-fd50a475-f64a-4402-b692-91677404b647?cldtidx=9&cldtsrc=listPage,ST NUOVA PRONTA CONSEGNA!!
Pelloni Auto Spa,Nissan NV400,IT,41122 Modena - Mo,da9afbab-ce76-47e7-81f4-b36386b06922,"€ 19.635,- 41",41,19635,https://www.autoscout24.it/annunci/nissan-nv400-35q-135cv-euro6-d-temp-l3-p3-h1-diesel-bianco-da9afbab-ce76-47e7-81f4-b36386b06922?cldtidx=10&cldtsrc=listPage,35Q 135CV EURO6 D-TEMP L3 P3 H1
