File,seller,vehicle,country,address,id_annuncio,asking_price,link_annuncio,vehicle_user_desc
pagina_di_ricerca_fuel_D_condition_U.json,"Privato,",Fiat 500L,IT,31100 tv,88d161b0-1059-8753-e053-0100007fc3de,7,https://www.autoscout24.it/annunci/fiat-500l-1-3-multijet-85-cv-pop-star-diesel-bianco-88d161b0-1059-8753-e053-0100007fc3de?cldtidx=1&cldtsrc=listPage,1.3 Multijet 85 CV Pop Star
pagina_di_ricerca_fuel_D_condition_U.json,Nuova Pa.Er. Srl,Fiat Panda,Paolo / Bruno,IT,7f06c9a6-95a9-47f7-8f86-24b919d11a65,12900,https://www.autoscout24.it/annunci/fiat-panda-1-3-95cv-4x4-diesel-grigio-7f06c9a6-95a9-47f7-8f86-24b919d11a65?cldtidx=2&cldtsrc=listPage,1.3 95cv 4x4
pagina_di_ricerca_fuel_D_condition_U.json,Carpe Diem cars,Audi A3,IT,35042 Este PD,071f64a5-1280-44d1-8eab-8d123934c952,870,https://www.autoscout24.it/annunci/audi-a3-2-0-tdi-f-ap-ambition-s-line-diesel-nero-071f64a5-1280-44d1-8eab-8d123934c952?cldtidx=3&cldtsrc=listPage,2.0 TDI F.AP. Ambition S-line
pagina_di_ricerca_fuel_D_condition_U.json,Locauto Due Srl,Alfa Romeo MiTo,IT,10064 Roletto - Torino,dae93538-103b-43de-aafb-a62c710a994b,379,https://www.autoscout24.it/annunci/alfa-romeo-mito-1-6-jtdm-16v-distinctive-diesel-nero-dae93538-103b-43de-aafb-a62c710a994b?cldtidx=4&cldtsrc=listPage,1.6 JTDm 16V Distinctive
pagina_di_ricerca_fuel_D_condition_U.json,Locauto Due Srl,Renault Clio,IT,10151 Torino - To,a1231adf-0268-4a76-bc55-4ab3909d02f1,1099,https://www.autoscout24.it/annunci/renault-clio-dci-8v-90cv-start-stop-5-porte-energy-zen-diesel-rosso-a1231adf-0268-4a76-bc55-4ab3909d02f1?cldtidx=5&cldtsrc=listPage,dCi 8V 90CV Start&Stop 5 porte Energy Zen
pagina_di_ricerca_fuel_D_condition_U.json,"Privato,",Opel Meriva,IT,44011 Argenta,dad25db0-5ff0-2440-e053-0100007fb02a,3,https://www.autoscout24.it/annunci/opel-meriva-1-3-cdti-ecoflex-club-diesel-blu-azzurro-dad25db0-5ff0-2440-e053-0100007fb02a?cldtidx=6&cldtsrc=listPage,1.3 CDTI ecoFLEX Club
pagina_di_ricerca_fuel_D_condition_U.json,Essepcar Srl,Audi A3,IT,21040 Gerenzano - Varese - Va,8caa9e2c-1819-4089-b3c3-d39f61752cdb,1490,https://www.autoscout24.it/annunci/audi-a3-1-6-tdi-clean-diesel-attraction-diesel-grigio-8caa9e2c-1819-4089-b3c3-d39f61752cdb?cldtidx=7&cldtsrc=listPage,1.6 TDI clean diesel Attraction
pagina_di_ricerca_fuel_D_condition_U.json,Essepcar Srl,Fiat 500,IT,21040 Gerenzano - Varese - Va,55ec63cd-8cfb-4999-9ac3-ed9b33b93fd9,590,https://www.autoscout24.it/annunci/fiat-500-1-3-multijet-16v-95-cv-lounge-diesel-bianco-55ec63cd-8cfb-4999-9ac3-ed9b33b93fd9?cldtidx=8&cldtsrc=listPage,1.3 Multijet 16V 95 CV Lounge
pagina_di_ricerca_fuel_D_condition_U.json,Pedroni Auto di Pedroni Angelo & c. sas,MINI One D,IT,25024 Leno - Bs,1e313e00-b483-440b-a84f-1400a76a165b,250,https://www.autoscout24.it/annunci/mini-one-d-1-4-tdi-neopatentati-diesel-grigio-1e313e00-b483-440b-a84f-1400a76a165b?cldtidx=9&cldtsrc=listPage,1.4 tdi Neopatentati
pagina_di_ricerca_fuel_D_condition_U.json,Pedroni Auto di Pedroni Angelo & c. sas,Fiat 500,IT,25024 Leno - Bs,13cd632b-aad5-4ddd-bab9-b2981ffa4d0e,589,https://www.autoscout24.it/annunci/fiat-500-1-3-multijet-16v-95-cv-lounge-tetto-diesel-diesel-grigio-13cd632b-aad5-4ddd-bab9-b2981ffa4d0e?cldtidx=10&cldtsrc=listPage,1.3 Multijet 16V 95 CV Lounge Tetto Diesel
