Carrozzeria,id_annuncio,Alimentazione,Tipo di cambio,Tipo di veicolo,Marca,Modello,Porte,Tipo di unità,Cilindrata,Posti a sedere,Cilindri,Colore esterno,Marce,Classe emissioni,Consumo carburante,Colore originale,Rivestimenti,Tipo di vernice,Peso a vuoto,Usato Garantito,Proprietari,Veicolo per non fumatori,Anno,Tagliandi certificati
City car,c08aa109-11cc-409c-b086-ba838d4aa0bf,Benzina,Manuale,Nuovo,Fiat,500,3,anteriore,1242,4,4,Grigio,5,Euro 6,"4,8 l/100 km (comb.)
6,1 l/100 km (urbano)
4 l/100 km (extraurbano)",GRIGIO CARRARA,"Stoffa, Grigio",Base,960,24 mese,,,,
City car,bd4a1516-4f48-4ab9-98d9-ef647fc3e2b0,Benzina,Manuale,Nuovo,Abarth,595,3,anteriore,1368,4,4,Blu/Azzurro,5,Euro 6,"6,6 l/100 km (comb.)
8,7 l/100 km (urbano)
5,4 l/100 km (extraurbano)",Blu,,Metallizzato,1120,24 mese,,,,
City car,bfe3f83f-c9d5-4379-b629-ec3fa401e74d,Benzina,Manuale,Nuovo,Fiat,500,3,anteriore,1242,4,4,Grigio,5,Euro 6,"4,8 l/100 km (comb.)
6,1 l/100 km (urbano)
4 l/100 km (extraurbano)",GRIGIO CARRARA,"Stoffa, Grigio",Base,960,24 mese,,,,
City car,81edfd38-d14e-4a24-9b58-1448439d772e,Benzina,Manuale,Nuovo,Fiat,500,3,anteriore,1242,4,4,Rosso,5,Euro 6,"4,9 l/100 km (comb.)
6,2 l/100 km (urbano)
4,1 l/100 km (extraurbano)",Bordeaux,,Base,960,24 mese,,,,
City car,8b73f65d-4e04-480e-949c-64baccff7b4e,Benzina,Manuale,Nuovo,Fiat,500,3,anteriore,1242,4,4,Rosso,5,Euro 6,"4,9 l/100 km (comb.)
6,2 l/100 km (urbano)
4,1 l/100 km (extraurbano)",Bordeaux,,Base,960,24 mese,,,,
City car,9ce75725-06cb-4266-a6af-b6fa7dc785e9,Benzina,Manuale,Nuovo,Fiat,500,3,anteriore,1242,4,4,Rosso,5,Euro 6,"4,9 l/100 km (comb.)
6,2 l/100 km (urbano)
4,1 l/100 km (extraurbano)",Bordeaux,,Base,960,24 mese,,,,
City car,4529d5d7-cc24-427f-af0e-d20bb4140ba2,Benzina,Manuale,Nuovo,Fiat,500,3,anteriore,1242,4,4,Blu/Azzurro,5,Euro 6,"4,8 l/100 km (comb.)
6,1 l/100 km (urbano)
4 l/100 km (extraurbano)",Blu,,Metallizzato,960,24 mese,,,,
City car,ca74a6d6-cb0c-4c7b-93cf-ecd9db182293,Benzina,Manuale,Nuovo,Fiat,500,3,anteriore,1242,4,4,Grigio,5,Euro 6,"4,8 l/100 km (comb.)
6,1 l/100 km (urbano)
4 l/100 km (extraurbano)",Grigio,,Metallizzato,960,24 mese,,,,
City car,42c6238e-79f1-43f0-95a6-91ddeb82c9dd,Benzina,Automatico,Nuovo,Fiat,500,3,anteriore,1242,4,4,Grigio,5,Euro 6,"4,9 l/100 km (comb.)
5,8 l/100 km (urbano)
4,5 l/100 km (extraurbano)",Antracite,,Metallizzato,1050,24 mese,,,,
City car,89e515dd-dac0-47ca-bda9-5a7828ece07f,Benzina,Manuale,Nuovo,Fiat,500,3,anteriore,1242,4,4,Grigio,5,Euro 6,"4,8 l/100 km (comb.)
6,1 l/100 km (urbano)
4 l/100 km (extraurbano)",Grigio,"Stoffa, Grigio",Metallizzato,960,24 mese,,,,
