File,id_annuncio,Marca,Carrozzeria,Alimentazione,Tipo di veicolo,Modello,Tipo di cambio,Colore esterno,Cilindrata,Porte,Posti a sedere,Cilindri,Tipo di unità,Marce,Classe emissioni,Rivestimenti,Tipo di vernice,Peso a vuoto,Usato Garantito,Proprietari,Per neopatentati,Consumo carburante,Emissioni di CO2,Veicolo per non fumatori,Tagliandi certificati
singole_pagine_fuel_B_condition_S.json,27595c58-71ac-4879-8a0e-bfdcece36e44,Opel,City car,Benzina,KM0,Karl,Manuale,Nero,999 ,5,4,3,anteriore,5,Euro 6,"Stoffa, Nero",Metallizzato,1034,12 mese,1,Sì,"4,6 l/100 km (comb.)
5,6 l/100 km (urbano)
4 l/100 km (extraurbano)",104,Sì,Sì
singole_pagine_fuel_B_condition_S.json,2d82df14-eacd-4198-bf4e-997e2cd8f031,Opel,City car,Benzina,KM0,Karl,Manuale,Lilla,999 ,5,4,3,anteriore,5,Euro 6,"Stoffa, Nero",Metallizzato,1034,12 mese,1,Sì,"4,6 l/100 km (comb.)
5,6 l/100 km (urbano)
4 l/100 km (extraurbano)",104,Sì,Sì
singole_pagine_fuel_B_condition_S.json,7d2e44db-7a35-47af-a095-f08d3c0877f6,Fiat,City car,Benzina,KM0,New Panda,Manuale,Argento,875 ,5,4,2,4x4,6,Euro 6d-TEMP,"Stoffa, Grigio",Base,1125,24 mese,,,"5,1 l/100 km (comb.)
5,4 l/100 km (urbano)
4,9 l/100 km (extraurbano)",116,Sì,Sì
singole_pagine_fuel_B_condition_S.json,53071f26-df77-4df5-b28d-a0e63e83a292,Fiat,City car,Benzina,KM0,500,Manuale,Blu/Azzurro,1242 ,3,4,4,anteriore,5,Euro 6,,Metallizzato,960,12 mese,,Sì,"4,8 l/100 km (comb.)
6,1 l/100 km (urbano)
4 l/100 km (extraurbano)",108,,
singole_pagine_fuel_B_condition_S.json,dd17c9b6-84e0-4f67-a0ae-3cdeb2b407b5,Fiat,City car,Benzina,KM0,500,Automatico,Verde,1242 ,3,4,4,anteriore,5,Euro 6,"Stoffa, Nero",Base,1050,,,Sì,"4,9 l/100 km (comb.)
5,8 l/100 km (urbano)
4,5 l/100 km (extraurbano)",114,,
singole_pagine_fuel_B_condition_S.json,fffd8063-7ac8-4faf-8e5c-8070b34f4ab4,Fiat,City car,Benzina,KM0,500,Automatico,Verde,1242 ,3,4,4,anteriore,5,Euro 6,"Stoffa, Nero",Base,1050,,,Sì,"4,9 l/100 km (comb.)
5,8 l/100 km (urbano)
4,5 l/100 km (extraurbano)",114,,
singole_pagine_fuel_B_condition_S.json,7d0f1a3f-f3b4-4a35-8a80-1f6430a0edc7,Fiat,City car,Benzina,KM0,500,Automatico,Verde,1242 ,3,4,4,anteriore,5,Euro 6,"Stoffa, Nero",Base,1050,,,Sì,"4,9 l/100 km (comb.)
5,8 l/100 km (urbano)
4,5 l/100 km (extraurbano)",114,,
singole_pagine_fuel_B_condition_S.json,afeffec9-2355-4e77-8ab2-aa2d24e37c75,Fiat,City car,Benzina,KM0,500,Automatico,Verde,1242 ,3,4,4,anteriore,5,Euro 6,"Stoffa, Nero",Base,1050,,,Sì,"4,9 l/100 km (comb.)
5,8 l/100 km (urbano)
4,5 l/100 km (extraurbano)",114,,
singole_pagine_fuel_B_condition_S.json,5b9e5b3b-2499-4d61-b36f-5fd7cf460cfc,Volkswagen,City car,Benzina,KM0,up!,Manuale,Bianco,999 ,5,4,3,anteriore,5,Euro 6d-TEMP,"Pelle parziale, Bianco",Metallizzato,980,24 mese,1,Sì,"4,4 l/100 km (comb.)
5,3 l/100 km (urbano)
3,8 l/100 km (extraurbano)",100,Sì,Sì
singole_pagine_fuel_B_condition_S.json,4ba0264d-a4ff-4699-8e7e-18b84100ed1c,Fiat,City car,Benzina,KM0,500,Manuale,Grigio,1242 ,3,4,4,anteriore,5,,,Metallizzato,960,24 mese,,Sì,"5,2 l/100 km (comb.)
6,5 l/100 km (urbano)
4,4 l/100 km (extraurbano)",119,,
singole_pagine_fuel_B_condition_S.json,eb3e71c3-81d1-46a1-99c0-f6ad9fa41c43,Fiat,City car,Benzina,KM0,500,Manuale,Nero,1242 ,3,4,4,anteriore,5,,,Metallizzato,960,24 mese,,Sì,"5,2 l/100 km (comb.)
6,5 l/100 km (urbano)
4,4 l/100 km (extraurbano)",119,,
singole_pagine_fuel_B_condition_S.json,4b0de6d1-908a-412d-a5b5-3b6b56f8aa16,Fiat,City car,Benzina,KM0,500,Manuale,Rosso,1242 ,3,4,4,anteriore,5,Euro 6,,Metallizzato,960,24 mese,,Sì,"4,9 l/100 km (comb.)
6,2 l/100 km (urbano)
4,1 l/100 km (extraurbano)",110,,
singole_pagine_fuel_B_condition_S.json,acf6abc9-4535-451f-b8fd-d08cdfb2cc5e,Fiat,City car,Benzina,KM0,500,Manuale,Blu/Azzurro,1242 ,3,4,4,anteriore,5,Euro 6,,Metallizzato,960,24 mese,,Sì,"4,9 l/100 km (comb.)
6,2 l/100 km (urbano)
4,1 l/100 km (extraurbano)",110,,
singole_pagine_fuel_B_condition_S.json,dcfb874a-86a4-4b13-96e6-b486e3102567,Fiat,City car,Benzina,KM0,500,Manuale,Bianco,1242 ,3,4,4,anteriore,5,Euro 6,,Base,960,24 mese,,Sì,"4,9 l/100 km (comb.)
6,2 l/100 km (urbano)
4,1 l/100 km (extraurbano)",110,,
singole_pagine_fuel_B_condition_S.json,602b0e52-e985-47cd-b89c-110f3ca0ea29,Fiat,City car,Benzina,KM0,500,Manuale,Bianco,1242 ,3,4,4,anteriore,5,,,Base,960,24 mese,,Sì,"5,2 l/100 km (comb.)
6,5 l/100 km (urbano)
4,4 l/100 km (extraurbano)",119,,
singole_pagine_fuel_B_condition_S.json,0ec0f97b-2443-4106-9b3e-75cdf6050c75,Fiat,City car,Benzina,KM0,500,Manuale,Bianco,1242 ,3,4,4,anteriore,5,Euro 6,"Stoffa, Grigio",Base,960,,,Sì,"4,8 l/100 km (comb.)
6,1 l/100 km (urbano)
4 l/100 km (extraurbano)",108,,
singole_pagine_fuel_B_condition_S.json,373cc82a-7715-44fd-8d6c-9a729ee0d731,Abarth,City car,Benzina,KM0,595,Manuale,Nero,1368 ,3,4,4,anteriore,5,Euro 6d-TEMP,"Stoffa, Nero",Base,1120,20 mese,,,"6,9 l/100 km (comb.)
8,9 l/100 km (urbano)
5,8 l/100 km (extraurbano)",158,,
singole_pagine_fuel_B_condition_S.json,4191b219-4e92-4bd5-bdd7-a97fb1a7c686,Fiat,City car,Benzina,KM0,500,Automatico,Bianco,1242 ,3,4,4,anteriore,5,Euro 6,"Stoffa, Grigio",Base,1050,23 mese,,Sì,"4,9 l/100 km (comb.)
5,8 l/100 km (urbano)
4,5 l/100 km (extraurbano)",114,,
singole_pagine_fuel_B_condition_S.json,41fc7af6-7836-466f-846b-d09460952e32,Fiat,City car,Benzina,KM0,500,Automatico,Nero,1242 ,3,4,4,anteriore,5,Euro 6,"Stoffa, Grigio",Metallizzato,1050,23 mese,,Sì,"4,9 l/100 km (comb.)
5,8 l/100 km (urbano)
4,5 l/100 km (extraurbano)",114,,
singole_pagine_fuel_B_condition_S.json,add19b14-0c3b-4cce-b4c1-d460915ef8fc,Fiat,City car,Benzina,KM0,Panda,Manuale,Grigio,2 ,5,4,2,4x4,6,Euro 6,"Stoffa, Grigio",,1090,23 mese,1,,"4,4 l/100 km (comb.)
6,7 l/100 km (urbano)
5,1 l/100 km (extraurbano)",116,,Sì
singole_pagine_fuel_B_condition_S.json,5f191510-509f-4b2e-ae61-3fe991e918e9,Fiat,City car,Benzina,KM0,Panda,Manuale,Grigio,2 ,5,4,2,4x4,6,Euro 6,"Stoffa, Grigio",,1090,23 mese,1,,"4,4 l/100 km (comb.)
6,7 l/100 km (urbano)
5,1 l/100 km (extraurbano)",116,,Sì
singole_pagine_fuel_B_condition_S.json,bad4b5e0-6138-4e09-941b-5e88ce269555,Peugeot,City car,Benzina,KM0,208,Manuale,Grigio,1199 ,5,5,3,anteriore,6,Euro 6d-TEMP,"Altro, Nero",Metallizzato,,12 mese,,,"4,2 l/100 km (comb.)
5,2 l/100 km (urbano)
3,7 l/100 km (extraurbano)",97,Sì,
singole_pagine_fuel_B_condition_S.json,c52ac7dd-5b7c-4670-b5ea-cac356f9620a,MINI,City car,Benzina,KM0,One,Manuale,Bianco,1499 ,5,5,,anteriore,,,"Altro, Altro",Base,,,,,"5,1 l/100 km (comb.)
6,6 l/100 km (urbano)
4,3 l/100 km (extraurbano)",116,,
singole_pagine_fuel_B_condition_S.json,338b93a6-a5d0-4424-b3df-0b8e564da3c2,Peugeot,City car,Benzina,KM0,208,Manuale,Bianco,1199 ,5,5,,anteriore,5,Euro 6,"Stoffa, Grigio",Metallizzato,,24 mese,,,"4,1 l/100 km (comb.)
4,8 l/100 km (urbano)
3,7 l/100 km (extraurbano)",94,,
singole_pagine_fuel_B_condition_S.json,a14d400a-eba8-4767-afa4-456150f4367d,Fiat,City car,Benzina,KM0,500,Manuale,Blu/Azzurro,1242 ,,,,anteriore,,Euro 6,Altro,Metallizzato,,,,,,,,
singole_pagine_fuel_B_condition_S.json,f2ac6503-f612-41f5-9ed3-5bdaae0f5865,Fiat,City car,Benzina,KM0,500,Manuale,Bianco,1242 ,,,,anteriore,,Euro 6,Altro,Metallizzato,,,,,,,,
singole_pagine_fuel_B_condition_S.json,778f9947-7e71-4d9c-9e05-d2fcbb3b21b4,Fiat,City car,Benzina,KM0,500,Manuale,Bianco,1242 ,,,,anteriore,,Euro 6,Altro,Metallizzato,,,,,,,,
singole_pagine_fuel_B_condition_S.json,30e0cdb3-ff52-40f6-865d-73c8717d4fc1,Fiat,City car,Benzina,KM0,500,Manuale,Nero,1242 ,,,,anteriore,,Euro 6,Altro,Metallizzato,,,,,,,,
singole_pagine_fuel_B_condition_S.json,4f2ae7f6-1853-48fe-9454-c4684a61848f,Fiat,City car,Benzina,KM0,500,Manuale,Nero,1242 ,,,,anteriore,,Euro 6,Altro,Metallizzato,,,,,,,,
