_ - _ - id_annuncio,_ - _ - Marca,_ - _ - Carrozzeria,_ - _ - Alimentazione,_ - _ - Tipo di veicolo,_ - _ - Anno,_ - _ - Modello,_ - _ - Colore esterno,_ - _ - Tipo di cambio,_ - _ - Cilindrata,_ - _ - Porte,_ - _ - Posti a sedere,_ - _ - Cilindri,_ - _ - Marce,_ - _ - Classe emissioni,_ - _ - Peso a vuoto,_ - _ - Tipo di unità,_ - _ - Tipo di vernice,_ - _ - Consumo carburante:3,_ - _ - Rivestimenti,_ - _ - Emissioni di CO23,_ - _ - Offerta n.,_ - _ - Colore originale,_ - _ - Usato Garantito,_ - _ - Proprietari,_ - _ - Tagliandi certificati,_ - _ - Consumo carburante:2,_ - _ - Veicolo per non fumatori,_ - _ - Emissioni di CO22,_ - _ - Per neopatentati,_ - _ - Versione per nazione,_ - _ - Ultimo tagliando,_ - _ - Prossima revisione,_ - _ - Consumo carburante:1,_ - _ - Bollino polveri,_ - _ - Ultimo cambio cinghia distribuzione,_ - _ - Emissioni di CO21,_ - _ - Prossima nuova,_ - _ - Disponibilità,_ - _ - Numero della chiave,_ - _ - Altre fonti di energia
2efb2ae1-3e91-4ad0-9670-ff3fd1969636,Volkswagen,City car,Benzina,Usato,2012,up!,Argento,Manuale,999 cm³,3,4,3,5,Euro 5,929 kg,anteriore,Metallizzato,"4,7 l/100 km (comb.)
5,9 l/100 km (urbano)
4 l/100 km (extraurbano)",Pelle parziale,108 g CO2/km (comb.),13966150,Argento,,,,,,,,,,,,,,,,,,
ad84731e-4795-4ac1-979f-9d6bd38ae6ee,Volkswagen,City car,Benzina,Usato,2018,Polo,Nero,Manuale,999 cm³,5,5,3,5,,,anteriore,,"4,8 l/100 km (comb.)
6 l/100 km (urbano)
4,1 l/100 km (extraurbano)","Stoffa, Grigio",,2503454,,,,,,,,,Italia,,,,,,,,,,
b6682323-6c3d-40d3-9ea6-4f4e5a9aa75b,Fiat,City car,Benzina,Usato,2019,Panda,Bianco,Manuale,1.242 cm³,5,5,4,5,,,anteriore,,"5,3 l/100 km (comb.)
6,9 l/100 km (urbano)
4,6 l/100 km (extraurbano)","Stoffa, Grigio",,2496698,,,,,,,,,Italia,,,,,,,,,,
d57032a3-2f2c-4a13-b653-97acddc17566,Audi,City car,Benzina,Usato,2019,A1,Grigio,Automatico,999 cm³,5,5,3,7,Euro 6d-TEMP,1.230 kg,anteriore,Metallizzato,"4,8 l/100 km (comb.)
5,8 l/100 km (urbano)
4,2 l/100 km (extraurbano)","Stoffa, Grigio",108 g CO2/km (comb.),10011088321,Grigio Scuro,24 mese,1,Sì,,Sì,,,,,,,,,,,,,
bbf19aff-3cae-481e-91f3-ddb87fdda35f,Audi,City car,Benzina,Usato,2019,A1,Nero,Automatico,999 cm³,5,5,3,7,Euro 6d-TEMP,1.230 kg,anteriore,Metallizzato,"4,8 l/100 km (comb.)
5,8 l/100 km (urbano)
4,2 l/100 km (extraurbano)","Stoffa, Grigio",108 g CO2/km (comb.),10011088319,Nero,24 mese,1,Sì,,Sì,,,,,,,,,,,,,
8dc02300-d78d-4477-878f-efade9f8d2c4,Audi,City car,Benzina,Usato,2019,A1,Bianco,Automatico,999 cm³,5,5,3,7,Euro 6d-TEMP,1.230 kg,anteriore,Metallizzato,"4,8 l/100 km (comb.)
5,8 l/100 km (urbano)
4,2 l/100 km (extraurbano)","Stoffa, Grigio",108 g CO2/km (comb.),10011088318,Bianco,24 mese,1,Sì,,Sì,,,,,,,,,,,,,
a98eb292-4069-4776-84a8-9578efe39a19,Audi,City car,Benzina,Usato,2019,A1,Bianco,Manuale,999 cm³,5,5,3,6,Euro 6d-TEMP,1.180 kg,anteriore,Metallizzato,"4,8 l/100 km (comb.)
5,9 l/100 km (urbano)
4,1 l/100 km (extraurbano)","Stoffa, Grigio",108 g CO2/km (comb.),10011088309,Bianco,24 mese,1,Sì,,Sì,,,,,,,,,,,,,
ee88e70b-d0ed-4594-9054-f451fe845be7,Audi,City car,Benzina,Usato,2019,A1,Nero,Manuale,999 cm³,5,5,3,6,Euro 6d-TEMP,1.180 kg,anteriore,Metallizzato,"4,8 l/100 km (comb.)
5,9 l/100 km (urbano)
4,1 l/100 km (extraurbano)","Stoffa, Grigio",108 g CO2/km (comb.),10011088308,Nero,24 mese,1,Sì,,Sì,,,,,,,,,,,,,
d3d19466-73e5-4c98-bab1-63752517b1d7,Audi,City car,Benzina,Usato,2019,A1,Grigio,Manuale,999 cm³,5,5,3,6,Euro 6d-TEMP,1.180 kg,anteriore,Metallizzato,"4,8 l/100 km (comb.)
5,9 l/100 km (urbano)
4,1 l/100 km (extraurbano)","Stoffa, Grigio",108 g CO2/km (comb.),10011088307,Grigio Scuro,24 mese,1,Sì,,Sì,,,,,,,,,,,,,
c8b5eac2-2260-4ef2-9264-9b857c9c2e0e,Audi,City car,Benzina,Usato,2019,A1,Grigio,Manuale,999 cm³,5,5,3,5,Euro 6d-TEMP,1.165 kg,anteriore,Metallizzato,"4,6 l/100 km (comb.)
5,8 l/100 km (urbano)
3,9 l/100 km (extraurbano)","Stoffa, Grigio",104 g CO2/km (comb.),10011088305,Grigio Scuro,24 mese,1,Sì,,Sì,,,,,,,,,,,,,
