Carrozzeria,id_annuncio,Alimentazione,Tipo di cambio,Tipo di veicolo,Marca,Modello,Porte,Tipo di unità,Cilindrata,Posti a sedere,Cilindri,Colore esterno,Marce,Classe emissioni,Consumo carburante,Colore originale,Rivestimenti,Tipo di vernice,Peso a vuoto,Usato Garantito,Proprietari,Veicolo per non fumatori,Anno,Tagliandi certificati
City car,92ee9cae-5fa5-48f0-8c86-322ab2b4604b,Diesel,Automatico,Nuovo,Ligier,JS 50,3,anteriore,478,2,2,Grigio,,Euro 4,,Grigio Asfalto,"Pelle totale, Nero",Base,345,24 mese,,,,
City car,eb5bb848-f5de-419b-ba86-9ab42ac429c6,Diesel,Automatico,Nuovo,Aixam,GTI,3,anteriore,479,2,2,Grigio,,Euro 4,,GRIGIO OPACO,"Pelle totale, Nero",Base,500,,,,,
City car,27f89d53-0864-4e7b-910f-0b8c04a65d6b,Diesel,Automatico,Nuovo,Chatenet,CH 40,3,anteriore,478,1,2,Nero,,Euro 4,,Nero,,Metallizzato,,,,,,
City car,8c213438-4e2b-4f25-830b-ced16f2d4a26,Diesel,Automatico,Nuovo,BMW,118,5,anteriore,2000,,,Nero,8,Euro 6d-TEMP,,,"Pelle totale, Rosso",,,Sì,,,,Sì
City car,0ff829dc-04af-4c43-931f-074afb3faa6c,Diesel,Automatico,Nuovo,Aixam,Crossline,5,anteriore,600,4,2,Nero,,Euro 4,,,"Altro, Nero",Metallizzato,,,,,2020,
City car,dd3cb138-8e1a-4301-ba92-a38385537605,Diesel,Automatico,Nuovo,Chatenet,CH 46,3,anteriore,478,2,2,Nero,1,Euro 5,"3,5 l/100 km (urbano)",,"Pelle totale, Nero",Metallizzato,540,,,Sì,,
City car,b83fd760-aa83-4fee-a8c5-471df3381412,Diesel,Automatico,Nuovo,BMW,118,5,anteriore,2000,,,Bianco,8,Euro 6d-TEMP,,,"Pelle parziale, Nero",,,Sì,,,,Sì
City car,2e826f0c-d196-4050-a9ee-8caac087f912,Diesel,Automatico,Nuovo,Aixam,City,3,anteriore,479,2,2,Bianco,,Euro 4,,Bianco,"Pelle totale, Nero",Base,500,24 mese,,,,
City car,fd50a475-f64a-4402-b692-91677404b647,Diesel,Automatico,Nuovo,Chatenet,CH 46,3,anteriore,480,2,2,Bianco,1,Euro 5,,,"Pelle totale, Nero",Metallizzato,,,,,,
City car,da9afbab-ce76-47e7-81f4-b36386b06922,Diesel,Manuale,Nuovo,Nissan,NV400,,anteriore,,,,Bianco,,,,Bianco,"Stoffa, Grigio",Base,,60 mese,,,,
City car,3ae7d82e-3c78-457d-bdc9-554b34b13d6c,Diesel,Automatico,Nuovo,Aixam,City,3,anteriore,479,2,2,Blu/Azzurro,,Euro 4,,Blu,"Pelle totale, Nero",Metallizzato,500,24 mese,,,,
City car,5ed1bd71-9a62-461f-9add-3010eef23918,Diesel,Automatico,Nuovo,Aixam,City,3,anteriore,479,2,2,Rosso,,Euro 4,,Rosso,"Pelle totale, Nero",Metallizzato,500,24 mese,,,,
City car,05cda2e9-3028-4b7b-8ccb-963f8f88a6da,Diesel,Automatico,Nuovo,Chatenet,CH 46,3,,478,2,,Nero,,,,NERO MET,"Pelle totale, Nero",Metallizzato,,24 mese,0,,,
City car,957d45cf-d8eb-4517-b7a0-f27c57b3db19,Diesel,Automatico,Nuovo,Chatenet,CH 46,,anteriore,,,,Nero,,Euro 4,,,"Pelle totale, Nero",Metallizzato,,,,,,
City car,cc479271-2bac-4e6f-b796-d8ae87ddeef2,Diesel,,Nuovo,Chatenet,CH 46,3,,478,2,,Bianco,,,,TETTO ROSSO,"Pelle totale, Nero",Metallizzato,,24 mese,0,,,
City car,8c56f4be-9cf5-4862-a219-e0b160f88bd2,Diesel,Automatico,Nuovo,Aixam,Coupe,3,anteriore,479,2,2,Blu/Azzurro,,,,Blu,,Base,500,24 mese,,,,
City car,343c9a88-ce5f-48fa-bbca-704f90d184f3,Diesel,Automatico,Nuovo,Aixam,City,3,anteriore,479,2,2,Rosso,,Euro 4,,Rosso,Nero,Base,500,24 mese,,,,
City car,6dbf6b43-0090-4f91-bc43-b102531cc909,Diesel,Automatico,Nuovo,Aixam,City,3,anteriore,479,2,2,Grigio,,Euro 4,,Grigio,Nero,Base,500,,,,,
City car,44cf2029-1d7c-4f78-8d17-eeb8a9fbbc14,Diesel,Automatico,Nuovo,Mercedes-Benz,Sprinter,2,posteriore,2143,3,4,Grigio,7,Euro 6,"8 l/100 km (comb.)
9 l/100 km (urbano)
7,5 l/100 km (extraurbano)",Grigio,"Stoffa, Nero",Base,5500,,,,,
City car,248710c0-24d1-48b0-ab0b-6818ccf32e04,Diesel,Automatico,Nuovo,Aixam,Coupe,3,anteriore,479,2,2,Bianco,,Euro 4,,Bianco,"Stoffa, Grigio",Base,500,Sì,,,,
City car,d23d7eec-940a-4edb-b1b0-c9819d82fb6d,Diesel,Automatico,Nuovo,Chatenet,CH 46,3,anteriore,480,2,2,Grigio,,Euro 4,,,Pelle totale,,,,,,2020,
City car,a62c33be-fd48-4417-98a6-6b9a310027c9,Diesel,Automatico,Nuovo,Bellier,B8,3,anteriore,480,2,2,Grigio,,,,,"Pelle totale, Nero",,,,,,,
City car,7f4229f3-fa6c-41fe-8334-80359e8c62c7,Diesel,Automatico,Nuovo,Chatenet,CH 46,3,anteriore,480,2,2,Bianco,,,,,"Pelle totale, Nero",Metallizzato,,,,,2020,
City car,72c1b72b-2452-45c1-87e7-b91a52ff6f6d,Diesel,Automatico,Nuovo,Chatenet,CH 46,3,anteriore,480,2,2,Grigio,,Euro 4,,,"Pelle totale, Nero",Metallizzato,,,,,,
City car,2a043b2c-5882-4c22-a942-a5371c94682d,Diesel,Automatico,Nuovo,Ligier,,3,anteriore,480,2,2,Nero,,Euro 4,,,"Pelle totale, Nero",Metallizzato,,,,,,
City car,c4281edd-054f-4a14-bd53-438f3aa48206,Diesel,Automatico,Nuovo,Microcar,Due,3,anteriore,505,2,2,Bianco,,Euro 4,,,"Stoffa, Nero",Metallizzato,,,,,,
City car,f774d31e-90a2-4752-9824-86eae51676ef,Diesel,Automatico,Nuovo,Ligier,,3,anteriore,505,2,2,Bianco,,Euro 4,,,"Pelle totale, Nero",Metallizzato,,,,,,
City car,6747659b-54f8-4d5d-9b00-992ea9c44e95,Diesel,Automatico,Nuovo,Microcar,M.Go,3,,480,2,2,Bianco,,Euro 4,,,"Stoffa, Nero",,,,,,,
