File,id_annuncio,Marca,Carrozzeria,Alimentazione,Tipo di veicolo,Modello,Cilindrata,Tipo di cambio,Colore esterno,Posti a sedere,Porte,Cilindri,Tipo di unità,Marce,Classe emissioni,Rivestimenti,Tipo di vernice,Peso a vuoto,Usato Garantito,Proprietari,Consumo carburante,Emissioni di CO2,Veicolo per non fumatori,Tagliandi certificati,Per neopatentati,_ - _ - Prossima revisione,Ultimo tagliando,_ - _ - Prossima nuova,_ - _ - Numero della chiave
singole_pagine_fuel_D_condition_S.json,bd9d22e1-5abf-4599-b50c-0735752f2a75,Peugeot,City car,Diesel,KM0,208,1499 ,Manuale,Bianco,5,5,4,anteriore,6,,"Stoffa, Nero",,,12 mese,,"3,7 l/100 km (comb.)
4,4 l/100 km (urbano)
3,4 l/100 km (extraurbano)",98,,,,,,,
singole_pagine_fuel_D_condition_S.json,fdd295f1-d4b5-4085-8b99-1612930299b4,Peugeot,City car,Diesel,KM0,208,1499 ,Manuale,Bianco,5,5,4,anteriore,6,Euro 6d-TEMP,"Altro, Nero",,,12 mese,,"3,3 l/100 km (comb.)
3,7 l/100 km (urbano)
3 l/100 km (extraurbano)",86,,,,,,,
singole_pagine_fuel_D_condition_S.json,efa31af6-9db2-4b25-a5cb-9fecb8e4a249,Peugeot,City car,Diesel,KM0,208,1499 ,Manuale,Grigio,5,5,4,anteriore,6,Euro 6d-TEMP,"Altro, Nero",Metallizzato,,12 mese,,"3,3 l/100 km (comb.)
3,7 l/100 km (urbano)
3 l/100 km (extraurbano)",86,,,,,,,
singole_pagine_fuel_D_condition_S.json,6afde796-6772-415b-89d1-f9756ef81c90,Opel,City car,Diesel,KM0,Corsa,1499 ,Manuale,Grigio,5,5,,anteriore,5,Euro 6,"Stoffa, Grigio",Metallizzato,,24 mese,,,,,,,,,,
singole_pagine_fuel_D_condition_S.json,b41489df-4145-493b-8cdb-1e1e83092f66,Citroen,City car,Diesel,KM0,C3,1499 ,Manuale,Grigio,5,5,,anteriore,5,Euro 6,"Stoffa, Grigio",Metallizzato,,24 mese,,"3,2 l/100 km (comb.)
3,6 l/100 km (urbano)
3 l/100 km (extraurbano)",86,,,,,,,
singole_pagine_fuel_D_condition_S.json,d75889d8-5690-4363-a672-baecbd4c1767,Citroen,City car,Diesel,KM0,C3,1499 ,Manuale,Bianco,5,5,,anteriore,5,Euro 6,"Stoffa, Grigio",Metallizzato,,24 mese,,"3,2 l/100 km (comb.)
3,6 l/100 km (urbano)
3 l/100 km (extraurbano)",86,,,,,,,
singole_pagine_fuel_D_condition_S.json,e1ad47b6-a43c-401b-a713-7407c6fdc506,Citroen,City car,Diesel,KM0,C3,1499 ,Manuale,Bianco,5,5,,anteriore,5,Euro 6,"Stoffa, Grigio",Metallizzato,,24 mese,,"3,2 l/100 km (comb.)
3,6 l/100 km (urbano)
3 l/100 km (extraurbano)",86,,,,,,,
singole_pagine_fuel_D_condition_S.json,c5a5a5ab-4bec-4cda-a3c8-1cd0b28b75a7,Peugeot,City car,Diesel,KM0,208,1499 ,Manuale,Nero,5,5,4,anteriore,6,Euro 6d-TEMP,"Stoffa, Nero",Metallizzato,,12 mese,,"3,7 l/100 km (comb.)
4,4 l/100 km (urbano)
3,4 l/100 km (extraurbano)",98,,,,,,,
singole_pagine_fuel_D_condition_S.json,2d4a2638-718e-4d67-a791-53e0c5767819,Peugeot,City car,Diesel,KM0,208,1499 ,Manuale,Bianco,5,5,4,anteriore,6,,"Stoffa, Nero",,,12 mese,,"3,7 l/100 km (comb.)
4,4 l/100 km (urbano)
3,4 l/100 km (extraurbano)",98,,,,,,,
singole_pagine_fuel_D_condition_S.json,7441ef95-8d9b-4d46-94e0-63a7d9387d58,Aixam,City car,Diesel,KM0,City,479 ,Automatico,Blu/Azzurro,2,3,2,anteriore,,Euro 4,"Pelle parziale, Nero",Base,500,24 mese,,,80,,,Sì,,,,
singole_pagine_fuel_D_condition_S.json,6e24c72d-e498-4ae1-8dc8-1d8215c7198d,Volkswagen,City car,Diesel,KM0,Touran,1968 ,Manuale,Nero,7,5,,anteriore,,,"Altro, Nero",Base,,,,"4,6 l/100 km (comb.)
5,4 l/100 km (urbano)
4,1 l/100 km (extraurbano)",116,,,,,,,
singole_pagine_fuel_D_condition_S.json,b9b8e39e-2132-47ad-9b3c-a695f62f7b91,Volkswagen,City car,Diesel,KM0,Polo,1598 ,Manuale,Grigio,5,5,,anteriore,,,"Altro, Nero",Base,,,,"3,7 l/100 km (comb.)
4,2 l/100 km (urbano)
3,4 l/100 km (extraurbano)",97,,,,,,,
singole_pagine_fuel_D_condition_S.json,d6caa292-69cb-4d21-83d9-eb0bc2073d66,Volkswagen,City car,Diesel,KM0,Polo,1598 ,Automatico,Grigio,5,5,,anteriore,,,"Altro, Nero",Base,,,,"3,9 l/100 km (comb.)
4,3 l/100 km (urbano)
3,7 l/100 km (extraurbano)",103,,,,,,,
