File,id_annuncio,Marca,Carrozzeria,Alimentazione,Tipo di veicolo,Modello,Colore esterno,Tipo di cambio,Cilindrata,Porte,Posti a sedere,Cilindri,Marce,Classe emissioni,Peso a vuoto,Tipo di unità,Rivestimenti,Tipo di vernice,Proprietari,Usato Garantito,Tagliandi certificati,Consumo carburante,Emissioni di CO2,Veicolo per non fumatori,Ultimo tagliando,Per neopatentati,_ - _ - Prossima revisione,_ - _ - Emissioni di CO21,_ - _ - Consumo carburante:1,_ - _ - Prossima nuova,_ - _ - Numero della chiave
singole_pagine_fuel_D_condition_U.json,88d161b0-1059-8753-e053-0100007fc3de,Fiat,City car,Diesel,Usato,500L,Bianco,Automatico,1248 ,5,5,4,5,Euro 5,1370,,,,,,,"4,2 l/100 km (comb.)
5 l/100 km (urbano)
3,7 l/100 km (extraurbano)",110,,,Sì,,,,,
singole_pagine_fuel_D_condition_U.json,7f06c9a6-95a9-47f7-8f86-24b919d11a65,Fiat,City car,Diesel,Usato,Panda,Grigio,Manuale,1248 ,5,5,4,5,Euro 6,,4x4,"Pelle scamosciata, Grigio",,,,,"4,5 l/100 km (comb.)
4,8 l/100 km (urbano)
4,4 l/100 km (extraurbano)",119,,,,,,,,
singole_pagine_fuel_D_condition_U.json,071f64a5-1280-44d1-8eab-8d123934c952,Audi,City car,Diesel (Filtro antiparticolato),Usato,A3,Nero,Manuale,1968 ,3,5,4,6,Euro 5,1395,anteriore,"Stoffa, Nero",Base,,,Sì,"4,4 l/100 km (comb.)
5,5 l/100 km (urbano)
3,8 l/100 km (extraurbano)",115,,,,,,,,
singole_pagine_fuel_D_condition_U.json,dae93538-103b-43de-aafb-a62c710a994b,Alfa Romeo,City car,Diesel (Filtro antiparticolato),Usato,MiTo,Nero,Manuale,1598 ,3,4,4,6,Euro 5,,anteriore,"Stoffa, Altro",Metallizzato,,12 mese,,"4,8 l/100 km (comb.)
5,9 l/100 km (urbano)
4,1 l/100 km (extraurbano)",126,,,,,,,,
singole_pagine_fuel_D_condition_U.json,a1231adf-0268-4a76-bc55-4ab3909d02f1,Renault,City car,Diesel (Filtro antiparticolato),Usato,Clio,Rosso,Manuale,1461 ,5,5,4,5,Euro 6,,anteriore,"Stoffa, Nero",Metallizzato,,12 mese,,"3,3 l/100 km (comb.)
3,5 l/100 km (urbano)
3,1 l/100 km (extraurbano)",85,,,,,,,,
singole_pagine_fuel_D_condition_U.json,dad25db0-5ff0-2440-e053-0100007fb02a,Opel,City car,Diesel (Filtro antiparticolato),Usato,Meriva,Blu/Azzurro,Manuale,1248 ,5,5,4,5,Euro 4,1393,,"Stoffa, Nero",Metallizzato,,,,"5 l/100 km (comb.)
6,2 l/100 km (urbano)
4,3 l/100 km (extraurbano)",135,,,Sì,,,,,
singole_pagine_fuel_D_condition_U.json,8caa9e2c-1819-4089-b3c3-d39f61752cdb,Audi,City car,Diesel (Filtro antiparticolato),Usato,A3,Grigio,Manuale,1598 ,3,5,4,6,Euro 6,1305,anteriore,,Metallizzato,,,,"3,8 l/100 km (comb.)
4,5 l/100 km (urbano)
3,4 l/100 km (extraurbano)",99,,,,,,,,
singole_pagine_fuel_D_condition_U.json,55ec63cd-8cfb-4999-9ac3-ed9b33b93fd9,Fiat,City car,Diesel (Filtro antiparticolato),Usato,500,Bianco,Manuale,1248 ,3,4,4,5,Euro 5,1055,anteriore,,Metallizzato,,,,"3,9 l/100 km (comb.)
5 l/100 km (urbano)
3,3 l/100 km (extraurbano)",104,,,,,,,,
singole_pagine_fuel_D_condition_U.json,1e313e00-b483-440b-a84f-1400a76a165b,MINI,City car,Diesel,Usato,One D,Grigio,Manuale,1364 ,3,4,4,6,Euro 3,1175,anteriore,"Pelle parziale, Grigio",Base,2,,,"4,8 l/100 km (comb.)
5,8 l/100 km (urbano)
4,3 l/100 km (extraurbano)",129,,,Sì,05/2020,,,,
singole_pagine_fuel_D_condition_U.json,13cd632b-aad5-4ddd-bab9-b2981ffa4d0e,Fiat,City car,Diesel (Filtro antiparticolato),Usato,500,Grigio,Manuale,1248 ,3,4,4,5,Euro 5,1055,anteriore,"Pelle parziale, Grigio",Base,2,12 mese,,"3,9 l/100 km (comb.)
5 l/100 km (urbano)
3,3 l/100 km (extraurbano)",104,,,,07/2021,,,,
singole_pagine_fuel_D_condition_U.json,07992370-c2f5-428a-91af-e9c761b070da,Ford,City car,Diesel,Usato,Fiesta,Blu/Azzurro,Manuale,1399 ,3,5,4,5,Euro 4,1139,anteriore,"Stoffa, Grigio",Base,1,,,"4,5 l/100 km (comb.)
5,8 l/100 km (urbano)
3,8 l/100 km (extraurbano)",119,,,Sì,10/2021,,,,
singole_pagine_fuel_D_condition_U.json,05d65374-2858-4543-87a3-a3916d84940f,Volkswagen,City car,Diesel (Filtro antiparticolato),Usato,Maggiolino,Nero,Automatico,1968 ,3,4,4,6,Euro 5,1417,anteriore,"Pelle parziale, Nero",Metallizzato,,12 mese,,"5,4 l/100 km (comb.)
6,9 l/100 km (urbano)
4,6 l/100 km (extraurbano)",140,,,,,,,,
singole_pagine_fuel_D_condition_U.json,fdf638b0-9f3d-d00e-e053-0100007f9c2a,Fiat,City car,Diesel,Usato,Panda,Argento,Manuale,1248 ,5,4,4,5,Euro 6,1120,anteriore,"Stoffa, Nero",Metallizzato,1,Sì,Sì,"3,6 l/100 km (comb.)
4,4 l/100 km (urbano)
3,2 l/100 km (extraurbano)",94,Sì,,,,,,,
singole_pagine_fuel_D_condition_U.json,90050d9e-a424-4a1a-b5b8-eed07427df84,Peugeot,City car,Diesel (Filtro antiparticolato),Usato,208,Blu/Azzurro,Manuale,1560 ,3,5,4,5,Euro 5,1155,anteriore,"Pelle parziale, Nero",Metallizzato,,,,"3,8 l/100 km (comb.)
4,5 l/100 km (urbano)
3,4 l/100 km (extraurbano)",98,,,,,,,,
singole_pagine_fuel_D_condition_U.json,d8080c43-c718-4b65-9357-13bd2390a37a,Peugeot,City car,Diesel (Filtro antiparticolato),Usato,208,Blu/Azzurro,Manuale,1560 ,3,5,4,5,Euro 5,1155,anteriore,"Pelle parziale, Nero",Metallizzato,,,,"3,8 l/100 km (comb.)
4,5 l/100 km (urbano)
3,4 l/100 km (extraurbano)",98,,,,,,,,
singole_pagine_fuel_D_condition_U.json,07649cc4-1f76-44b0-a2a8-2452dc79a62c,Ford,City car,Diesel (Filtro antiparticolato),Usato,Fiesta,Grigio,Manuale,1499 ,5,5,4,6,Euro 6d-TEMP,1134,anteriore,"Stoffa, Nero",Metallizzato,1,12 mese,Sì,,,Sì,12/2019,,,,,,
singole_pagine_fuel_D_condition_U.json,9e37caf0-54df-4f70-8506-7eb26cbdb3b6,DS Automobiles,City car,Diesel (Filtro antiparticolato),Usato,DS 3,Bianco,Manuale,1560 ,3,5,4,5,Euro 5,1155,anteriore,"Stoffa, Nero",Base,,12 mese,Sì,"4 l/100 km (comb.)
4,9 l/100 km (urbano)
3,4 l/100 km (extraurbano)",104,Sì,,,,,,,
